gene_ID,Log2FC,padj
ST18,3.926141586,3.66E-09
LOC107049105,3.926090813,0.004939145
DCSTAMP,3.906146662,2.16E-20
FCGBPL,3.902877434,0.001437065
TMEFF1,3.902199182,1.10E-05
PTPN22,3.898635846,7.91E-22
ANKS1B,3.896147544,4.30E-06
C18H17ORF67,3.88125375,1.43E-05
CD163,3.876610514,3.45E-10
SLCO1B1,3.873253086,0.0016081
PLEKHN1,3.867505205,1.23E-12
LOC112531568,3.865933825,4.18E-05
LOC101748032,3.851090962,4.92E-09
LOC112532517,3.8431842,4.52E-07
ALDOB,3.835803225,9.81E-13
SLC12A5,3.835373832,1.64E-15
LOC100858460,3.833163991,8.56E-10
JCHAIN,3.832599513,1.92E-09
LOC107052466,3.831933365,2.19E-07
ZNF831,3.825971692,1.32E-09
CXorf21,3.821064898,1.69E-05
XDH,3.80992998,1.68E-09
LOC107051767,3.809089057,0.013947768
SLC4A8,3.805830625,2.56E-13
MRGPRH,3.800587935,4.53E-07
MAPK11,3.785504767,1.49E-15
SSTR2,3.780280072,0.000117717
LOC107053603,3.776648965,0.000140192
LOC420160,3.773636327,1.52E-13
LOC101749621,3.765830233,0.000173036
LOC107052289,3.763834167,0.001269057
CRLF2,3.760928519,0.000985636
HTR1F,3.760782861,1.57E-07
C1QTNF6,3.759717176,3.68E-14
MSX1,3.756015215,4.62E-24
LOC100858919,3.754849947,2.61E-24
FCER1G,3.735911338,1.40E-07
TMEM154,3.729376366,1.27E-13
SLITRK6,3.717480041,0.003714664
SERPINB10A,3.716949328,2.32E-12
DMP1,3.708310322,0.000575656
LOC100858068,3.707721688,0.002741287
NMNAT3,3.704804642,0.004354653
ATP6V0D2,3.695933118,0.004842409
CHIR-B3,3.692958123,0.000827991
BPIL,3.69294312,2.15E-30
RASSF6,3.688076737,3.01E-11
LOC107053913,3.68682436,0.003906051
CHRM4,3.674724978,5.44E-13
TFEC,3.672801202,2.95E-05
IL18RAP,3.671113829,1.19E-05
CD180,3.669620776,2.63E-10
SBSPON,3.669289189,6.25E-09
LOC112531326,3.665966273,0.000921445
LAT2,3.651265814,8.74E-11
LOC101748775,3.651175161,2.08E-07
IQCA1,3.650925124,1.89E-06
LOC107054541,3.647477536,0.014935608
VEPH1,3.644006724,2.83E-18
SIAH3,3.640008093,0.002991684
P2RY10,3.639664732,9.10E-16
VH26L1,3.627529135,1.12E-06
LOC770881,3.624677711,5.95E-08
LOC112532772,3.622830751,0.016019979
RIPK3,3.620224544,3.83E-10
GPC3,3.609083808,7.58E-08
PRR15,3.60628126,3.12E-05
GPR141,3.599676415,1.62E-11
LOXL4,3.586759885,7.69E-06
PI15,3.586419102,1.83E-07
LOC101750509,3.581260979,2.32E-12
TPD52L1,3.576988503,8.35E-12
RAC2,3.572376533,4.08E-14
ADGRG5,3.571475221,2.76E-09
LCP1,3.56683614,2.16E-24
LOC101751902,3.5652292,3.24E-08
LOC426456,3.563222627,2.70E-11
SERPINB1,3.560016015,8.73E-11
LOC112531274,3.555209818,0.019106702
LOC419545,3.555146813,1.56E-11
SYK,3.551996173,7.75E-14
RAB44,3.551368751,3.92E-10
MIR1652,3.54751243,0.015492687
TLR7,3.540772904,2.62E-17
DMBT1,3.538702078,4.41E-16
TMEM71,3.52766739,1.60E-06
