,baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue,padj
DDX6,4728.432503,0.115289129,2.35E-06,0.001442667,0.509882171,0.610134013,0.999928958
DDX60,145.1668527,0.256686458,1.95E-06,0.001442685,0.692649609,0.48852947,0.999928958
DEAF1,302.119161,-0.296395042,-8.07E-06,0.001442667,-1.518728416,0.128830871,0.999928958
DECR1,1169.194403,-0.169776382,-1.98E-06,0.001442679,-0.570693913,0.568207146,0.999928958
DECR2,1493.670639,-0.104711385,-6.44E-06,0.001442613,-0.805769002,0.420376055,0.999928958
DEDD,78.57223664,-0.382121241,-4.72E-06,0.001442681,-1.318420417,0.18736295,0.999928958
DEF6,299.4252602,0.202314372,5.20E-06,0.001442663,1.004687725,0.315047241,0.999928958
DEF8,290.100897,0.212901809,4.85E-06,0.001442666,0.996160654,0.319172093,0.999928958
DEGS1,2056.568753,0.007976224,3.80E-07,0.001442628,0.053139942,0.957620407,0.999928958
DEK,4302.88704,-0.075197573,-2.63E-06,0.001442646,-0.436846616,0.66222259,0.999928958
DELE,543.6272469,-0.149781463,4.25E-05,0.001442957,-0.874572989,0.38180629,0.999928958
DENND11,243.0687305,0.079362828,1.25E-06,0.001442673,0.307774808,0.758253692,0.999928958
DENND1A,1120.523781,-0.067325293,-3.89E-06,0.001442614,-0.502505111,0.615312258,0.999928958
DENND1B,340.4455824,0.234995073,5.49E-06,0.001442667,1.112940246,0.265734094,0.999928958
DENND2A,1531.553522,0.042942448,2.47E-06,0.001442613,0.318599049,0.750030574,0.999928958
DENND2B,1490.29494,0.214748647,1.55E-05,0.001442669,1.433448898,0.151729593,0.999928958
DENND2C,164.0660985,-0.039573195,-3.62E-07,0.001442682,-0.118715774,0.905500539,0.999928958
DENND2D,12.51971528,0.786641407,2.01E-06,0.001442692,1.231511947,0.218131451,0.999928958
DENND3,525.3835301,0.22624571,7.53E-06,0.001442657,1.279739826,0.200636653,0.999928958
DENND4A,1782.999269,0.090408804,2.73E-06,0.001442653,0.485469926,0.627343041,0.999928958
DENND4C,469.1739913,-0.063490473,-6.46E-07,0.00144268,-0.200269033,0.84127018,0.999928958
DENND5A,1597.570049,0.089873431,4.16E-06,0.001442631,0.598402153,0.549571629,0.999928958
DENND5B,437.5007124,-0.11070592,-1.55E-06,0.001442675,-0.4074306,0.683691756,0.999928958
DENND6A,1296.221293,-0.219918232,-1.84E-05,0.001442633,-1.975659385,0.048193368,0.999928958
DENND6B,452.1876869,-0.236654857,-7.13E-06,0.00144266,-1.275917816,0.201984572,0.999928958
DENR,876.7104225,-0.135129505,-2.06E-06,0.001442674,-0.518238945,0.604291565,0.999928958
DEPDC1,926.287307,0.119303113,5.87E-06,0.00144263,0.819470169,0.412518215,0.999928958
DEPDC1B,962.7131806,-0.084928517,-3.78E-06,0.001442633,-0.555790486,0.57835409,0.999928958
DEPDC5,457.9132588,0.192826427,1.50E-06,0.001442684,0.525444415,0.599274284,0.999928958
DEPDC7,118.4503778,0.260834583,3.14E-06,0.001442679,0.88795425,0.374565361,0.999928958
DEPTOR,132.063803,-0.458547887,-2.76E-06,0.001442688,-1.107555962,0.268053631,0.999928958
DERA,804.5551525,-0.130888046,-2.07E-06,0.001442673,-0.511283009,0.609152901,0.999928958
DERL1,2497.090788,-0.179468215,-9.11E-06,0.001442636,-1.255062333,0.209456133,0.999928958
DERL2,727.790026,-0.10662052,-2.81E-06,0.001442658,-0.537458379,0.590951028,0.999928958
DERL3,175.1600304,0.067888062,9.10E-07,0.001442676,0.242535765,0.808365048,0.999928958
DES,2015.017198,0.093175939,6.35E-07,0.001442685,0.236178208,0.813294389,0.999928958
DESI1,1589.238028,-0.080354396,-4.54E-06,0.001442617,-0.592607154,0.55344409,0.999928958
DESI2,1323.801596,-0.025166981,-7.80E-07,0.00144265,-0.138390673,0.889931668,0.999928958
DET1,1211.682228,0.026605931,7.53E-07,0.001442655,0.137706073,0.89047272,0.999928958
DEUP1,9.629226097,0.544286821,7.85E-07,0.001442693,0.641978727,0.520886995,0.999928958
DEXI,41.40995155,0.124920697,6.28E-07,0.001442688,0.273299385,0.784623088,0.999928958
DFFA,765.2954201,-0.245290932,-1.09E-05,0.001442652,-1.606232901,0.108222747,0.999928958
DFFB,397.4102543,0.054243074,1.65E-06,0.001442652,0.292227958,0.770112337,0.999928958
