pathway,gene,baseMean,mean_norm_Sacral,mean_norm_Free,mean_norm_Pygo,norm_Sacral_1,norm_Sacral_2,norm_Sacral_3,norm_Sacral_4,norm_Free_1,norm_Free_2,norm_Free_3,norm_Free_4,norm_Pygo_1,norm_Pygo_2,norm_Pygo_3,norm_Pygo_4,Sacral_vs_Free__log2FC,Sacral_vs_Free__log2FC_shrunken,Sacral_vs_Free__lfcSE_shrunken,Sacral_vs_Free__stat,Sacral_vs_Free__pvalue,Sacral_vs_Free__padj,Sacral_vs_Free__DE_call,Pygo_vs_Free__log2FC,Pygo_vs_Free__log2FC_shrunken,Pygo_vs_Free__lfcSE_shrunken,Pygo_vs_Free__stat,Pygo_vs_Free__pvalue,Pygo_vs_Free__padj,Pygo_vs_Free__DE_call,Sacral_vs_Pygo__log2FC,Sacral_vs_Pygo__log2FC_shrunken,Sacral_vs_Pygo__lfcSE_shrunken,Sacral_vs_Pygo__stat,Sacral_vs_Pygo__pvalue,Sacral_vs_Pygo__padj,Sacral_vs_Pygo__DE_call
Angiogenesis,MMP2,39366.9078914948,47712.832780082,43665.9342079637,26721.9566864388,47341.802904805,43025.8839310366,48523.5955660906,51960.0487183955,34817.6824302938,52132.2610944975,44140.6578174065,43573.135489657,20113.2431115458,21170.5624245614,31714.1138540321,33889.9073556159,0.127850655938255,0.101954186223882,0.189349778110792,0.652310583646022,0.514200833857119,0.655073212562794,not_sig,-0.708468782395373,-0.659039760391713,0.194851155683558,-3.61426906624241,0.0003011961433508,0.0016185817967548,Free_up,0.836319438333628,0.770884097933448,0.198825403455871,4.2665669551351,1.98503938777199e-05,0.0003034641820529,Sacral_up
Angiogenesis,HIF1A,24793.5099010083,29192.1663908212,27211.9814986838,17976.3818135198,24579.0470629592,25864.6872877645,31754.8866307299,34570.0445818314,23807.0362572117,32490.4551309993,23223.3399157794,29327.094690745,13562.6550962268,15241.5043008079,16644.590870863,26456.7769861817,0.101302130731285,0.0930053168024558,0.212312075102954,0.45453700396789,0.64944236454686,0.76448421966707,not_sig,-0.598148713686945,-0.534554356645453,0.218647228261444,-2.68353605841312,0.007284811904076,0.0230093522940471,Free_up,0.69945084441823,0.60828662454023,0.224095168149534,3.13806726492476,0.0017006584464297,0.0096357037852925,Sacral_up
Angiogenesis,NOTCH1,5147.1059543014,4076.1943473574,6179.58021121996,5185.54330432683,3640.03007409175,4709.86712198055,3836.72870269259,4118.15149066471,5972.29728119755,6121.93327809799,6415.29961495262,6208.79067063169,6015.32595959257,6692.33130118001,4386.307582601,3648.20837393375,-0.60018627282029,-0.567927324349032,0.184113150573857,-3.21650065056536,0.0012976423940361,0.0053510746102075,Free_up,-0.253038039530301,-0.228306703656976,0.178706070922856,-1.35654439724325,0.174926019357409,0.293083032432729,not_sig,-0.347148233289989,-0.293894440463171,0.178003209349054,-1.85994529301912,0.0628932663420102,0.145342927230939,not_sig
Angiogenesis,PECAM1,4698.72126644074,1950.50053466107,10120.1249600366,2025.53830462455,1893.56040171422,2546.81145158481,1838.20054792381,1523.42973742145,12595.3317503193,11794.1127269438,5709.19209899127,10381.8632638921,1899.57661881871,1381.07949368425,2148.58433158465,2672.91277441059,-2.37502662051644,-2.31729289972073,0.27653225829765,-8.65661368163238,4.85986334990165e-18,2.10868041380659e-16,Free_up,-2.32097379043729,-2.25781862660171,0.277273076360087,-8.45970499991702,2.6805474264871905e-17,2.41494814712991e-15,Free_up,-0.0540528300791551,-0.036807738882338,0.225104385546692,-0.196737302558878,0.844033117312587,0.906065021877674,not_sig
Angiogenesis,KLF2,3478.26337650598,2756.92836661636,4162.74748493416,3515.11427796742,2436.30657388698,3371.62250192044,2312.50305150682,2907.28133915119,3165.04731933872,5606.59034874649,5284.63378243224,2594.71848921921,2704.48196577578,2480.63782663609,4159.25561801084,4716.08170144696,-0.59442593374028,-0.5325232624345,0.27979641671641,-2.05042600448222,0.0403228777224318,0.0967060765860882,not_sig,-0.243954752230587,-0.194518157188263,0.260990716157651,-0.841683453360585,0.399965162569682,0.538918694902088,not_sig,-0.350471181509693,-0.236233488316001,0.252381583629661,-1.20873744789102,0.226763729890675,0.369832909111966,not_sig
Angiogenesis,CDH5,2666.47075012502,1739.80934157444,5080.53226279872,1179.0706460019,1196.27586833961,2028.1002974432,2057.53762117699,1677.32357933794,6663.02994412701,5531.63137720445,3791.97612210888,4335.49160775453,1223.45612737476,1403.32736656888,1106.66809407648,982.830995987463,-1.54605158011845,-1.4928836872457,0.229155778370131,-6.79248776122337,1.10216168666694e-11,2.34796249567567e-10,Free_up,-2.10724607488874,-2.06395709045283,0.23011661152768,-9.24421825562842,2.36966527912992e-20,3.21457352003348e-18,Free_up,0.561194494770297,0.467936400507177,0.224858285228989,2.45728833537864,0.013999027819061,0.0480468623211737,Sacral_up
Angiogenesis,KDR,1812.32647384227,1158.36215485327,3093.00736786073,1185.60989881282,1508.14545269274,1153.52916546026,1071.07748461703,900.696516643064,3033.17034769961,2954.06492395211,3055.70262049729,3329.09157929393,1336.14287594875,1480.33923424644,906.525991956264,1019.43149309981,-1.41632993194364,-1.36681244096647,0.199248822387393,-7.15212129858566,8.54470099897099e-13,2.09221081306754e-11,Free_up,-1.38364217175231,-1.33318811166903,0.199858932896488,-6.9867538388169,2.81319191324387e-12,1.21616450403312e-10,Free_up,-0.0326877601913364,-0.0254753212202468,0.177087076935084,-0.164477060922885,0.869355603546545,0.921679377744908,not_sig
Angiogenesis,VEGFA,1784.35670543022,1541.52519256311,2561.10628712767,1250.43863659989,1714.81723695064,1638.31299120598,1269.26022085593,1543.7103212399,2100.30291717047,1770.90570268064,2718.29048470563,3654.92604395394,1216.74858281678,869.378417337795,1185.71581508194,1729.91173116304,-0.732171606999563,-0.667790562115995,0.254516776821342,-2.82787712542485,0.0046857787967343,0.0161511569389774,Free_up,-1.03457481202728,-0.948924267521087,0.26149256149661,-3.99313640968061,6.52050313673954e-05,0.0004404978707487,Free_up,0.302403205027712,0.218845803591766,0.229376119265678,1.16604354538725,0.243596840017496,0.388956217644607,not_sig
Angiogenesis,FLT1,1608.65010913778,1176.81908571782,2793.87280485996,855.258436835572,1139.48767536785,1330.70521374991,1231.40509146199,1005.67836229153,2841.8406429445,2377.3919269753,2852.36153204006,3103.89711747997,747.220463758488,1028.53627720475,751.794282754082,893.482723624967,-1.24650250875633,-1.22311640084822,0.152397647398017,-8.19524522107322,2.5008279760055092e-16,9.13770023926223e-15,Free_up,-1.70677576048489,-1.68377197822488,0.153359474580383,-11.1770724054066,5.28032428740159e-29,1.6399575589451002e-26,Free_up,0.460273251728562,0.419430488610815,0.151489765811298,2.99800489061123,0.0027175331243778,0.0138242784197877,Sacral_up
Angiogenesis,TEK,1160.99262803145,707.70273393062,2011.20165411616,764.073496047562,760.589404228378,568.471235788912,904.069560820192,597.680734885,2359.73302531299,1931.89713019706,1461.37441594532,2291.80204500929,843.809105393337,900.183164408819,810.659606907086,501.642107481005,-1.50729612790612,-1.45246139668808,0.241371193812353,-6.28897643295713,3.19565974173046e-10,5.51391465963492e-09,Free_up,-1.39609100712313,-1.33063358092149,0.242503619307363,-5.82669157236974,5.6536959774380305e-09,1.20442093728743e-07,Free_up,-0.111205120782989,-0.0799659415660489,0.206392872799732,-0.462228231099621,0.643917660199343,0.7617035407109,not_sig
