symbol	label	module
IFI16	IFI16	Sensors
ZBP1	ZBP1	Sensors
IKBKG	NEMO	Kinases
IRF3	IRF3	TFs
IFNB1	IFNβ	IFN
CXCL10	CXCL10	ISGs/Outputs
ISG15	ISG15	ISGs/Outputs
TNF	TNF	ISGs/Outputs
