gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
A1CF,2628,0,4,45,4,21,21,6,3,0,0,12
A4GALT,192,681,1679,407,806,220,283,319,918,783,838,470
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,931,436,696,1117,869,652,627,935,1579,486,1324,637
AACS,2217,1419,1213,3657,1117,2468,2167,1601,1838,1269,2073,2461
AADAC,1661,312,349,622,512,397,238,366,823,406,812,348
AADACL3C,115,53,77,67,29,111,114,89,50,62,84,145
AADAT,1164,472,585,412,244,480,491,308,354,583,426,298
AAED1,515,313,587,354,79,560,487,281,151,611,510,347
AAGAB,1929,1426,1835,2029,1276,1306,1315,1477,2014,1582,1711,1400
AAK1,7449,4709,6473,9316,6087,5655,5671,6743,9905,4834,8274,6031
AAMDC,574,471,753,480,365,349,289,436,456,460,402,349
AAMP,853,571,811,918,760,543,545,754,1127,864,1078,835
AANAT,3,18,6,17,10,15,10,2,11,4,16,6
AAR2,1113,986,1260,1081,670,828,770,903,1003,1030,907,727
AARS1,2594,2271,3115,3172,3545,2230,2189,3200,4672,2719,3382,2477
AARS2,506,477,637,744,768,474,383,602,1310,592,908,664
AARSD1,782,613,981,830,689,617,455,755,858,946,953,939
AASDH,1213,901,1373,1320,604,987,902,757,833,1046,876,994
AASDHPPT,357,185,134,464,108,263,171,134,201,201,201,180
AASS,459,1403,1004,471,372,178,164,277,521,644,434,321
AATF,379,222,248,533,328,245,276,275,603,386,566,565
AATK,216,851,790,440,568,296,321,703,833,644,734,464
ABAT,11339,1374,1410,2302,1168,1486,1454,1228,1592,987,1888,1344
ABCA1,2690,3891,4374,5310,5429,5154,4419,3728,8962,3800,7648,3370
ABCA12,91,51,58,53,30,16,10,30,40,6,84,34
ABCA13,20,17,9,4,20,8,8,12,4,4,0,2
ABCA2,3030,2294,3526,3581,3161,2008,2258,3173,5225,2316,3407,2944
ABCA3,3283,3758,4685,4630,4221,2463,2664,4069,7164,3499,4654,2328
ABCA4,73,68,71,89,22,74,56,20,58,65,51,39
ABCA5,1730,1644,2663,1557,2038,1420,1320,1982,2777,2296,2593,1994
ABCB1,1572,968,669,636,156,330,301,668,306,560,264,252
ABCB10,858,627,715,3740,1512,2829,2413,794,3358,554,2400,1828
ABCB11,4118,180,167,377,222,322,284,247,464,143,395,236
ABCB5,2221,55,35,89,29,55,85,85,35,46,42,44
ABCB6,299,288,270,511,512,212,227,330,797,167,477,332
ABCB7,2202,1468,2031,4443,1499,2915,2476,1364,2851,1706,3275,2563
ABCB8,481,397,541,400,394,226,224,576,619,426,462,456
ABCB9,405,149,220,419,162,265,257,295,348,158,244,186
ABCC1,2291,3387,4500,4615,2759,2941,2416,3368,4222,4631,4888,3434
ABCC3,1461,906,1089,2894,2823,2055,1795,1569,4661,833,3507,2472
ABCC4,2268,2687,3073,4759,1698,2628,2418,1955,2874,2891,3008,3288
ABCC5,5777,3458,4043,8944,4302,5664,5079,4361,7388,4173,7137,5655
ABCC6,2580,774,1259,978,531,759,683,1103,1276,763,1018,850
ABCC8,50,918,939,254,262,146,124,326,174,650,77,154
ABCC9,1495,2186,2406,2187,1623,1259,1082,1354,2095,2460,1872,2510
ABCD2,1460,2680,2509,2868,2692,2147,1663,2097,3777,1964,2667,1856
ABCD3,5732,2145,2892,2749,979,1650,1591,2075,1442,2463,1507,1601
ABCD4,1120,551,562,1143,837,753,800,642,1719,556,1237,593
ABCE1,3750,3134,3440,5022,2285,3625,3263,2803,3408,2806,3205,2621
ABCF2,1391,1359,1228,2159,2033,1466,1395,1288,2447,1505,2436,2048
ABCF3,1957,1376,1786,2250,2118,1243,1085,1914,2904,1714,2635,1991
ABCG1,281,651,407,1233,915,735,729,179,1636,618,1145,742
ABCG2,481,1295,1158,1343,839,688,627,985,1351,1192,1087,644
ABCG4,14,65,36,14,14,20,10,10,48,26,20,8
ABCG5,46,41,30,48,9,19,28,12,15,24,8,30
ABCG8,12,30,19,16,0,18,16,10,0,12,7,7
ABHD1,249,230,454,216,198,154,149,342,251,174,192,106
ABHD10,727,557,1002,796,442,636,577,503,571,836,534,541
ABHD11,47,82,125,96,101,95,96,68,147,45,133,49
ABHD12,2142,1483,2167,2361,1636,1759,1577,1689,2916,1464,2076,1780
ABHD12B,264,313,378,201,114,107,75,143,195,134,178,108
ABHD13,1926,1074,1772,2129,366,1376,1354,929,781,1372,1064,1286
ABHD14A,140,88,222,116,119,75,79,219,136,116,42,30
ABHD17A,801,630,808,936,567,574,659,677,847,525,795,622
ABHD17B,574,224,307,460,111,411,487,258,266,377,424,288
ABHD17C,876,430,832,690,283,420,485,441,619,801,614,537
ABHD18,749,586,744,1013,333,556,520,493,610,618,499,639
ABHD2,4508,4602,7791,5263,3024,2598,2355,3856,5076,5749,3837,3245
ABHD3,217,146,64,28,10,22,12,22,22,32,16,4
ABHD4,852,992,1180,1090,526,877,754,489,770,695,813,635
ABHD6,385,271,469,289,232,190,201,293,497,246,443,202
ABHD8,12,63,9,36,41,33,35,16,46,2,50,26
ABI1,3642,4296,6482,4723,2095,3031,2951,3177,4030,6031,4386,3816
ABI2,5163,3849,5154,7753,3994,4682,4673,4563,6750,5034,6029,4569
ABI3,200,151,143,542,236,262,289,239,365,92,404,230
ABI3BP,383,20132,90940,284,1301,101,129,27234,1789,56401,5202,1842
ABL1,2164,4113,6175,2472,2076,1563,1275,3711,2896,5317,2815,2251
ABL2,2527,1910,2781,2790,1755,1920,1817,2822,2580,2435,2569,2493
ABLIM1,5053,6307,7280,489,766,338,369,2721,680,5962,1047,783
ABLIM2,310,981,397,535,333,377,233,386,573,522,472,403
ABLIM3,887,365,498,779,480,684,694,473,710,355,742,537
ABR,4610,2505,5874,5613,3794,3087,3415,4700,6428,3996,5679,4077
ABRA,65,346,120,128,700,40,71,46,122,333,55,178
ABRACL,215,214,297,378,63,268,179,164,120,210,215,217
ABTB1,1696,2067,2440,2237,2602,1404,1379,1938,3495,2087,2792,2059
ABTB2,2858,1003,2235,4280,1793,2617,2885,2295,2200,1187,3101,2371
ACAA1,2446,842,1089,665,553,354,358,654,706,677,616,445
ACAA2,4925,849,949,976,935,1211,995,910,1247,1620,1793,770
ACACA,7557,3995,6098,7574,5250,5208,5040,5000,7448,5805,6849,5902
ACACB,490,323,303,155,298,83,89,146,546,415,344,282
ACAD11,2288,432,634,382,242,297,288,289,409,398,333,366
ACAD8,1007,364,376,257,481,186,188,319,481,517,431,323
ACAD9,3166,1695,2252,3320,1411,2152,2004,1983,2080,2261,2203,2791
ACADL,3136,1695,1995,1706,1655,1220,1077,1455,2268,1937,2260,1568
ACADS,3969,840,1153,1306,1070,1011,857,1217,1619,1111,1476,1055
ACADSB,3822,1458,1489,1214,509,1055,747,880,788,1557,962,1072
ACAN,844677,107503,276245,969753,366360,661366,678489,408818,485377,233650,512877,585696
ACAP2,1843,2338,2992,2575,1556,1937,1631,2457,2600,2813,2606,1858
ACAP3,876,2677,3806,1995,2130,1197,949,2810,3145,3911,2377,1765
ACAT1,2558,1281,1615,2276,1626,1511,1341,1592,2380,1795,2513,1852
ACAT2,1298,291,318,1098,317,733,666,366,486,412,631,578
ACBD3,2377,2281,3193,3127,1571,1939,1945,2241,2090,2794,2408,2487
ACBD4,366,207,307,369,329,234,179,415,415,169,406,250
ACBD5,2036,1347,1936,1963,791,1179,1083,1258,1178,1559,962,1231
ACBD6,528,414,553,645,476,466,475,498,728,571,729,667
ACBD7,34,102,59,36,12,33,49,20,36,29,22,32
ACE,2184,617,587,251,185,176,72,452,263,455,494,107
ACE2,292,2,1,12,4,2,8,0,0,0,8,0
ACER1,0,2,0,0,0,2,0,0,6,0,0,12
ACER2,353,275,449,364,136,323,263,159,355,475,504,240
ACER3,1691,2981,3750,2704,1208,1814,1739,2259,1778,2286,1851,1566
ACHE,29,502,50,16,186,26,70,28,73,144,72,66
ACKR2,22,210,316,94,87,62,26,122,146,224,87,51
ACKR4,134,1734,1084,33,28,130,77,112,47,566,71,114
ACLY,10674,3823,3510,16018,7060,10882,10275,5165,13852,4000,11802,9657
ACMSD,785,10,41,60,16,62,55,36,4,29,2,19
ACO1,7856,1326,1734,2164,1506,1708,1459,1314,2132,1601,2075,1473
ACO2,8372,3756,3017,6064,6698,3991,3531,4234,9205,4810,7753,5009
ACOD1,12,96,86,60,23,60,14,36,72,88,22,18
ACOD1L,204,399,722,215,2,54,82,327,6,326,4,18
ACOT11,822,148,262,252,231,204,214,342,417,231,386,213
ACOT12,545,8,26,24,13,23,31,54,18,6,59,22
ACOT7,239,573,242,255,218,176,224,206,311,192,277,172
ACOT8,556,227,236,480,472,309,333,339,744,215,564,303
ACOT9,1124,1891,1840,2540,1190,1660,1857,1756,2170,2948,1655,2498
ACOX1,4125,1192,1444,1777,1374,1155,966,962,2329,869,1780,1065
ACOX2,1715,192,95,198,125,158,104,74,266,201,167,170
ACOX3,817,348,557,468,219,247,345,316,338,366,284,321
ACP1,577,538,513,496,129,412,330,427,233,313,331,304
ACP2,1459,583,1276,1492,1162,1056,935,993,1715,764,1694,830
ACP5,1422,1106,1072,7393,10000,8181,7320,12357,17012,521,15447,8115
ACP6,504,328,387,602,426,362,283,423,665,249,485,304
ACR,24,4,4,3,16,14,6,8,14,8,34,3
ACRBP,0,10,0,4,0,1,2,6,10,8,22,2
ACRL,0,2,2,0,0,0,0,0,0,0,4,0
ACSBG1,412,333,241,295,191,290,289,133,205,378,539,211
ACSBG2,4286,1792,2497,3025,1939,1907,1605,2355,2743,2846,2590,2404
ACSF2,3036,875,1713,1306,650,660,673,1074,932,1384,1172,856
ACSF3,264,162,279,201,274,166,134,218,436,233,293,215
ACSL1,6019,4214,3086,1157,997,910,885,1183,1374,2452,1155,1036
ACSL3,2992,1075,1861,3733,1395,2372,2467,1871,1948,1549,2607,2511
ACSL4,2326,2199,2563,2474,1014,1672,1779,1663,1677,1726,1803,1854
ACSL5,158,141,166,427,281,247,233,202,465,153,397,147
ACSM3,8658,2,0,51,0,4,2,6,2,0,0,0
ACSM5,2201,146,9,42,61,3,0,8,21,80,14,10
ACSS1A,489,1237,1501,766,869,666,619,983,2348,1305,1474,624
ACSS2,2363,2125,2699,3790,3095,2046,1959,2327,5222,3016,3873,2459
ACSS3,861,384,553,333,405,214,190,368,422,366,353,356
ACTA2,481,8943,10968,1323,1366,651,579,3439,2517,7254,2327,1126
ACTB,33650,52961,74017,66781,46489,41156,41017,40839,93991,55581,74946,43335
ACTBL2,83,70,95,77,41,67,39,58,94,58,53,75
ACTC1,0,306,126,0,3955,2,0,16,180,471,240,914
ACTG1,2351,2032,1866,2165,1961,1647,1577,2158,2962,1800,2562,2147
ACTG2,25,739,1093,36,33,8,6,122,101,412,151,16
ACTL6A,925,672,744,1571,598,946,797,729,975,789,1116,975
ACTL9,0,0,0,0,0,0,0,0,1,0,0,0
ACTN1,7282,7140,10957,12511,8746,7749,7693,6656,11707,7271,12077,9858
ACTN2,156,12729,1330,29,8778,26,23,266,2501,15761,2687,5601
ACTN4,4351,4501,5940,4697,3858,2649,2938,4555,5634,5040,5299,3823
ACTR10,929,1143,1269,1083,713,672,605,878,1142,785,1076,833
ACTR10L,57,50,33,68,61,34,61,69,84,88,47,6
ACTR1A,3511,4745,5986,4195,2439,3002,2692,3536,4044,5368,4370,2546
ACTR2,7452,5578,7597,10622,5135,6823,6493,6017,9167,7795,8008,7281
ACTR3,6472,3235,4653,9781,2590,6888,6178,3497,4809,3687,5214,5834
ACTR3B,2348,4263,5526,4036,2277,2278,2220,3150,3348,4712,3425,2912
ACTR5,1018,530,765,1259,836,790,711,675,1194,584,1256,786
ACTR6,1190,963,1054,1394,371,1035,886,606,463,795,730,822
ACTR8,694,448,542,907,443,562,457,569,638,563,563,567
ACVR1B,1454,1004,1223,1644,1683,820,887,1336,2596,1196,2256,1467
ACVR1C,56,344,574,128,105,64,55,94,173,148,131,88
ACVR2A,6508,3422,4910,6335,3089,4641,4217,3416,4793,3991,5043,3970
ACVR2B,669,545,953,931,466,854,744,561,680,627,700,807
ACY1,3468,385,445,689,541,384,335,720,671,454,564,473
ACYP1,158,160,116,140,74,106,84,104,176,168,164,190
ACYP2,379,318,225,329,108,216,156,200,136,239,196,244
ADA,1175,1137,1688,2165,1688,1660,1582,670,2567,824,2388,1310
ADAL,513,481,443,1220,356,865,719,305,660,431,895,890
ADAM10,5828,5149,5615,9240,2953,5580,4644,4598,6069,5102,6152,4959
ADAM11,6,39,15,2,3,7,9,2,4,22,2,9
ADAM12,4607,1406,2467,4852,1829,3107,4043,1665,2682,2291,4244,5173
ADAM17,2910,2628,3820,3643,2425,2225,1769,2513,4000,3713,4269,3028
ADAM19,147,310,201,377,574,262,263,204,906,128,625,343
ADAM20,144,201,140,141,60,125,77,121,77,90,58,98
ADAM20L,22,12,10,13,6,8,6,12,6,16,0,0
ADAM22,273,879,616,298,311,273,216,415,323,508,1178,510
ADAM23,4128,2769,4434,6378,2198,4886,4649,3253,2987,3607,3834,3971
ADAM33,677,1236,1403,3077,3038,2267,1900,1561,6017,1220,3529,2185
ADAM8,327,174,228,644,697,445,332,655,1039,203,941,528
ADAM9,2284,1916,2766,2183,1477,1563,1583,1720,2178,2088,2084,1816
ADAM9L,69,2,9,16,4,29,16,2,5,10,3,8
ADAMTS1,619,4531,5224,786,714,304,283,2773,736,5552,1092,921
ADAMTS10,637,1086,1410,911,852,606,550,1434,1462,1384,1359,863
ADAMTS12,982,2035,3597,657,846,785,529,1656,1015,4469,743,323
ADAMTS13,889,232,521,413,435,248,259,317,707,371,559,302
ADAMTS14,1188,602,1016,2009,1489,967,772,1198,1840,829,1608,1134
ADAMTS15,132,3011,4573,369,328,159,140,1167,610,3042,360,203
ADAMTS17,2980,1393,2821,4109,2347,3120,2764,2691,3216,2570,3010,2054
ADAMTS18,407,189,195,1269,1442,1536,1159,1371,3546,187,2631,1075
ADAMTS19,96,637,1016,116,115,80,83,587,102,1552,194,65
ADAMTS2,16377,16405,38362,22446,14725,15600,15997,22869,25526,35161,27415,24053
ADAMTS20,28,397,350,30,348,47,130,100,161,663,111,272
ADAMTS3,13515,3381,8260,13035,6896,10888,12358,8088,9786,7841,15809,9031
ADAMTS4,44,87,122,100,105,64,37,138,77,78,79,43
ADAMTS5,1549,2267,2865,1203,603,574,493,1706,987,1712,823,468
ADAMTS6,1975,911,1657,2512,765,1588,1542,1349,1354,1286,2231,2019
ADAMTS7,960,1762,2493,2502,2498,1555,1191,2248,5006,1742,3406,2198
ADAMTS8,133,928,2739,56,463,24,16,517,472,1532,652,1095
ADAMTS9,1994,2105,2178,1573,893,944,689,1936,1592,2319,1062,1205
ADAMTSL1,285,1954,3244,1179,1465,752,494,2007,1956,2237,1809,1586
ADAMTSL2,1403,2932,8490,2393,1637,1402,1227,4089,2468,9329,2964,2646
ADAMTSL2L,51,79,103,98,149,111,94,68,219,112,152,68
ADAMTSL3,278,1860,5372,499,487,218,162,1406,380,3277,1002,472
ADAMTSL5,5,30,23,10,28,0,6,22,10,22,8,6
ADAP1,414,768,302,445,378,332,331,333,489,295,418,331
ADAP1L,513,34,37,192,113,79,105,21,244,2,152,72
ADAP2,192,121,96,126,115,170,119,87,275,120,229,109
ADAR,1272,1123,1489,2406,2024,1313,1269,1305,3102,1389,2642,1764
ADARB1,643,1001,1269,1101,616,620,591,921,952,977,926,691
ADARB2,8,4,5,48,18,35,22,20,20,6,37,21
ADAT1,1182,1343,1681,1529,826,890,873,1140,987,1703,1239,1052
ADAT2,190,195,316,223,110,145,129,113,188,349,165,192
ADCK1,227,108,187,264,203,173,152,189,313,102,264,182
ADCK2,326,232,368,288,320,246,194,295,475,273,444,191
ADCY1,18,177,169,65,62,79,41,101,49,108,36,48
ADCY2,1551,2213,4796,1323,525,1157,1295,1957,1059,3666,1813,1530
ADCY3,323,370,544,150,138,83,72,256,256,222,194,184
ADCY6,1325,2352,3151,1475,614,1039,837,1383,1095,2055,1109,700
ADCY7,660,1040,1002,1396,859,937,840,674,1394,558,1252,721
ADCY8,3,219,101,14,2,21,31,28,14,21,14,18
ADCY9,2782,3282,5451,4338,3219,2333,2453,3374,4698,4866,4065,2986
ADCYAP1,2,10,2,0,2,2,0,6,2,2,0,2
ADCYAP1R1,40,693,109,40,44,62,116,17,29,82,21,54
ADD1,3563,6500,6895,4283,2548,2877,2526,3373,4190,6228,4144,3152
ADD2,251,1153,640,2269,1509,1077,1339,932,3315,560,3007,1997
ADD3,2230,5361,6928,4050,1441,2411,2278,2480,3035,5190,2882,2285
ADGB,33,78,17,102,58,63,45,17,85,72,65,70
ADGRA1,295,1764,1821,529,192,337,274,663,322,1008,590,246
ADGRA2,2271,1279,1817,2617,1396,1265,1491,1415,2091,953,2032,1528
ADGRA3,2253,1448,2457,2675,1374,1815,1610,1844,1852,1645,1842,1817
ADGRB1,4,243,87,0,28,4,23,48,31,66,23,27
ADGRB2,25,42,61,59,78,49,22,71,133,83,99,42
ADGRB3,4,158,47,8,12,16,37,22,3,20,6,10
ADGRD1,821,1326,1246,3317,1896,2457,1312,1233,3765,612,3593,1891
ADGRD2,352,288,43,60,61,63,44,49,112,40,115,37
ADGRF4,105,168,215,147,76,97,77,212,135,96,99,92
ADGRF5,337,622,678,217,172,154,147,489,327,389,199,189
ADGRG1,975,439,521,246,251,199,147,257,348,292,266,169
ADGRG2,538,3350,8660,86,146,24,7,3313,175,6233,314,303
ADGRG3,26,46,60,699,641,301,287,96,1578,10,1005,303
ADGRG5,17,32,40,162,148,73,59,60,206,10,109,64
ADGRG6,4840,7032,11449,6748,2815,4540,3956,6619,4599,6932,4763,4508
ADGRG7,5,12,8,28,0,13,5,5,3,9,7,4
ADGRL2,4721,6700,8183,4303,1399,2382,2335,4195,1890,6126,2406,2319
ADGRL3,2323,1484,935,370,445,332,288,506,538,666,585,493
ADGRL4,623,2574,2332,1064,291,555,476,1432,452,2257,485,567
ADGRV1,173,300,62,257,77,87,104,23,100,43,67,50
ADH1C,5678,35,1,77,14,41,11,2,17,28,43,8
ADH6,2348,12,0,11,4,4,5,0,7,17,5,2
ADHFE1,2114,242,231,167,239,181,155,209,189,287,236,168
ADI1,2628,959,1497,1446,546,1175,1101,874,921,1105,956,899
ADIPOQ,91,3940,6287,95,420,94,116,2551,1176,5053,683,1128
ADIPOR1,1413,724,1004,1730,891,1246,1235,1213,1529,1071,1446,1300
ADIPOR2,5872,3412,4850,8516,5768,5149,5435,4657,9836,4740,8797,7278
ADIRF,0,0,0,0,2,0,0,8,0,0,0,0
ADK,2728,1049,891,1403,772,949,715,900,1162,794,1399,1037
ADM,42,373,651,41,34,44,47,140,22,465,110,71
ADM2,144,16,16,41,15,34,18,12,24,0,46,12
ADMP,2,6,3,6,0,0,0,2,4,2,2,2
ADNP,8643,8231,11478,11952,5199,7028,7183,7536,8048,9676,9616,8304
ADNP2,2421,1592,2258,3002,1361,2257,2097,1485,2269,1581,1961,1507
ADO,995,652,1079,1095,354,584,613,748,734,809,680,665
ADORA1,17,40,24,0,2,0,0,4,0,14,0,8
ADORA2A,641,766,852,1125,813,672,646,855,1502,721,1188,885
ADORA2B,181,210,268,478,392,204,255,172,746,198,471,139
ADORA3,6,8,19,13,37,24,13,15,78,9,27,10
ADPGK,4314,1476,2680,5176,2354,3690,3687,2919,3332,2401,4124,3468
ADPRH,1047,1466,2711,1408,1269,1118,1102,1675,1946,2074,1717,1353
ADPRHL,109,60,15,34,50,10,8,50,36,67,15,21
ADPRHL2,717,745,1209,833,788,626,570,935,1091,1128,994,1077
ADPRM,343,292,371,317,154,301,187,291,259,299,178,154
ADRA1A,58,40,52,86,54,60,56,188,120,52,98,92
ADRA1B,584,90,208,12,12,8,17,45,4,118,24,16
ADRA1D,80,144,165,16,30,4,8,78,30,188,68,44
ADRA2A,215,734,1679,56,50,36,18,436,128,826,88,114
ADRA2B,28,62,78,46,24,10,6,40,50,24,16,22
ADRA2C,220,165,155,438,164,116,81,120,175,80,306,282
ADRB1,28,110,107,325,128,143,206,107,362,66,503,171
ADRB2,196,539,260,214,256,148,150,190,494,322,401,159
ADRB3,2,2,0,0,2,0,0,0,0,0,0,0
ADRM1,1276,1084,1071,1473,1047,1060,1065,921,1710,810,1403,994
ADSL,943,1314,996,1032,1895,845,673,1021,2189,1714,1759,1003
ADSS1,4334,4119,2456,2899,1653,1451,1397,2170,2076,2431,2210,2632
ADSS2,4652,1860,2494,4859,1344,2969,2703,2010,2709,2217,2720,3418
ADTRP,11,31,37,28,23,14,35,7,37,18,2,15
AEBP1,2463,7500,16901,2080,3498,1259,1124,11212,5101,16012,6239,4849
AEBP2,1171,1042,1314,1467,286,904,1043,627,490,1138,778,830
AFAP1,2164,2457,3225,2843,1174,2097,2022,2276,1325,2354,1664,1636
AFAP1L1,156,510,517,218,484,234,174,586,674,635,532,426
AFAP1L2,464,1912,1936,690,775,393,279,1396,1225,2028,1289,591
AFDN,5218,3691,4525,5096,2895,3815,3333,3140,5646,3388,5608,3807
AFF2,4871,4173,7269,7599,2237,4319,4067,3531,4217,3812,4124,3150
AFF3,6891,1822,3396,9331,3075,6101,6931,4321,5046,2959,7689,6482
AFF4,8393,6656,9452,13452,6711,8370,7750,7423,11311,5863,9644,6863
AFG1L,1044,671,807,909,406,598,542,662,641,759,714,676
AFG3L2,2324,1463,1759,2118,1231,1628,1373,1257,1702,1651,1796,1599
AFMID,279,209,429,402,309,188,157,311,554,226,365,268
AFP,501,9,8,42,12,30,22,4,63,6,10,59
AFTPH,1785,1296,1751,1938,777,1230,1232,933,1372,1319,1611,1453
AGA,2372,1274,1592,2142,777,1722,1496,1124,1016,1556,1374,1667
AGAP1,4489,4562,6143,4123,2678,2435,2260,4312,3989,5506,3646,2711
AGAP3,1074,804,1227,1130,852,569,717,1242,1229,953,1210,966
AGBL1,246,1713,161,49,2004,47,40,96,900,2771,623,608
AGBL2,46,15,50,107,54,14,28,63,80,28,87,12
AGBL5,354,325,318,394,292,193,232,430,517,265,449,249
AGFG1,2370,1770,2410,4252,1831,2786,2756,1447,3339,1364,2810,1706
AGGF1,593,413,467,676,137,582,506,278,284,637,502,458
AGK,503,582,593,655,467,540,326,485,690,482,594,431
AGL,3175,10491,3299,4116,4194,2952,2696,2275,3403,6064,3559,4019
AGMAT,252,41,43,77,76,29,56,55,173,58,104,36
AGMO,44,64,43,0,2,18,0,37,17,8,7,24
AGO1,4158,2362,3724,5153,3238,3021,3179,3284,4574,3935,5043,4143
AGO2,4743,5284,6515,14271,5275,8472,8252,5560,9963,5519,10243,9451
AGO3,2057,1799,2831,2692,1615,1987,1936,1966,2753,2664,3009,2405
AGO4,2524,1881,2637,4038,2781,2391,2435,2099,4222,2065,3587,2574
AGPAT2,809,534,661,1214,1160,712,638,970,2082,686,1256,887
AGPAT3,4683,2040,1848,2695,1141,1989,1921,1108,1533,1689,1770,2191
AGPAT4,1102,772,1093,1265,726,1003,940,831,1049,741,1120,891
AGPAT5,4383,1453,1969,4707,1458,3554,3174,2249,2172,2091,3240,2786
AGPS,1883,2208,2384,2936,1080,1889,1696,1352,1704,2037,1845,1667
AGR2,73,0,1,3,2,3,0,4,0,10,2,0
AGR3,109,19,22,24,4,8,4,2,8,14,2,2
AGRN,3765,3972,4311,2000,1386,1007,994,3102,2038,3937,1213,1317
AGRP,28,16,38,18,23,16,5,27,31,27,53,22
AGT,63,63,10,40,2,20,30,0,21,24,36,12
AGTPBP1,527,483,127,318,205,480,329,118,387,212,522,137
AGTR1,1057,368,518,1125,519,1002,946,461,784,165,814,799
AGTR2,288,1050,2093,464,317,232,181,402,400,745,287,231
AGTRAP,121,63,155,79,64,55,38,99,137,158,135,53
AGXT,857,0,0,10,0,0,0,0,0,0,0,0
AGXT2,1909,1,4,12,0,10,0,4,5,4,6,4
AHCTF1,3769,3149,4380,5008,2748,3267,2878,2892,4110,3740,3946,3272
AHCY,5836,1044,974,1428,1504,967,827,847,2131,970,1911,1202
AHCYL1,2290,1680,2086,3015,2367,1728,1705,2378,4178,2168,3582,2372
AHCYL2,2021,863,1334,1650,1324,997,1017,1049,1890,1200,1944,1326
AHDC1,1248,1448,3020,1488,1097,654,691,2377,1788,1779,1506,1165
AHI1,921,1369,1739,980,496,775,693,977,696,933,822,795
AHR1A,2520,3147,3309,1732,616,1325,1078,1363,1366,2879,1048,882
AHR1B,12,10,5,2,4,0,4,0,0,8,8,0
AHR2,0,0,0,0,0,0,0,2,8,0,0,16
AHRR,69,55,49,10,4,32,26,10,16,22,18,24
AHSA1,1219,1032,851,1577,924,970,761,1109,1449,1687,1598,1240
AHSA2,521,454,630,832,213,470,480,410,397,595,608,600
AHSG,21,18,19,35,18,15,10,10,46,31,70,36
AICDA,0,4,4,2,0,0,0,0,28,0,8,6
AIDA,1103,2578,3473,1624,896,1066,1017,1425,1503,2560,1351,948
AIFM1,1909,934,1052,1705,1398,1334,1063,1221,2117,1325,1863,1638
AIFM2,1602,380,665,2840,1552,1776,1455,1370,2150,358,1600,1816
AIFM3,14,152,10,17,9,10,10,12,21,0,26,14
AIG1,414,356,310,428,218,234,203,251,200,284,227,155
AIMP1,414,608,672,544,441,449,331,347,359,474,638,478
AIP,201,232,442,461,302,197,200,361,533,211,323,224
AJAP1,267,252,384,300,222,113,135,297,376,271,653,407
AK1,122,2193,184,200,1390,132,119,239,735,1548,687,640
AK2,2293,2257,2215,7375,4297,3391,3654,2277,8766,2386,7848,6328
AK3,1053,781,816,625,378,310,318,457,653,385,416,335
AK5,269,139,135,59,26,50,62,88,30,226,23,30
AK6,627,244,232,348,183,497,510,166,220,451,628,274
AK7,16,10,7,8,0,15,15,14,6,6,6,24
AK9,2,21,8,6,4,17,20,11,6,4,6,4
AKAIN1,10,539,26,66,6,10,102,22,10,38,39,4
AKAP1,3818,2658,3540,3532,2721,2106,1941,2392,3868,3775,3704,3233
AKAP10,1455,899,1561,1578,1014,1193,1120,1133,1595,1316,1447,981
AKAP11,4461,4575,5891,5001,1729,3449,3084,3627,2658,3819,3074,3072
AKAP12,1087,7041,3413,898,1078,682,871,1315,476,3045,604,576
AKAP13,10095,11882,22047,13456,9981,7361,6913,15370,14038,15826,12727,10647
AKAP14,6,8,6,4,0,18,6,0,8,10,16,12
AKAP17A,1010,995,1200,1675,774,1104,1037,1096,1316,1047,1322,1240
AKAP6,153,2195,256,687,833,505,414,471,666,803,771,482
AKAP7,552,475,493,876,258,609,531,386,405,350,532,513
AKAP8,977,710,1138,1281,832,825,907,1112,1492,1104,1526,1260
AKAP8L,644,500,587,789,345,521,547,394,619,820,1142,804
AKAP9,11117,9252,12420,12913,5786,9500,8903,9671,8449,11960,11983,10078
AKIRIN2,1312,1198,1364,1583,628,1006,953,883,1119,1064,1033,896
AKNA,215,411,559,778,576,298,392,627,1025,411,567,473
AKR1A1,163,21,42,37,42,21,17,74,39,20,60,24
AKR1B1,16511,5148,9081,25060,5467,11368,9832,9356,10295,7292,8062,7942
AKR1B10,223,811,1378,461,559,267,263,455,1056,775,690,415
AKR1D1,331,137,212,744,350,706,468,733,607,84,433,493
AKR1E2,415,410,842,379,244,250,178,258,319,270,311,313
AKT1,2402,2845,3408,3118,989,2375,2267,1692,1474,2597,2163,2039
AKT3,930,2324,2585,1127,378,651,720,1281,586,2411,865,748
AKTIP,1061,749,851,1243,532,832,745,702,951,896,909,1055
ALAD,440,178,222,474,424,372,323,286,853,178,497,277
ALAS1,1265,687,812,1400,1351,837,690,980,2799,860,1460,1020
ALB,432,36,43,56,28,53,49,25,105,33,46,72
ALCAM,678,2534,2835,1196,411,750,831,748,838,2033,873,471
ALDH18A1,6296,5532,10102,9825,5448,7590,7508,12332,8076,12345,6988,7830
