gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
EIF3G,1566,1612,1935,1941,2207,1354,1341,1535,2937,1600,2812,1835
EIF3H,3061,4476,4948,3753,2027,2680,2618,2493,3372,3005,4872,3904
EIF3I,2177,1774,2107,2646,2066,1819,1672,1810,3194,2066,3815,2999
EIF3J,1336,1358,1371,1945,996,1229,1097,1125,1231,1786,1362,1415
EIF3K,2144,2583,2928,2526,2724,1933,1748,2650,5094,2318,4980,2853
EIF3L,4163,3452,3968,4602,5863,3336,3253,3025,7249,3024,6763,3569
EIF3M,1584,1715,1748,2055,1256,1376,1137,1206,2074,1753,1918,1689
EIF4A2,14788,18465,23415,20561,9248,13054,10978,14379,15413,17808,18220,16434
EIF4A3,2284,2635,2944,3438,2303,2193,2004,1898,3507,2596,3563,2709
EIF4B,1791,1895,2600,1875,1928,1374,1393,2035,2733,2345,3136,2589
EIF4E,3183,2628,3121,4320,1239,2800,2714,1993,2082,2364,2763,2573
EIF4E2,560,617,742,650,475,492,567,471,789,940,1145,711
EIF4E3,507,592,457,706,427,532,426,231,642,416,669,794
EIF4EBP1,2106,1481,1583,2585,1372,1987,1750,1715,2389,1596,2657,1595
EIF4EBP2,369,318,376,365,228,263,334,361,503,281,349,419
EIF4EBP3,157,149,209,161,197,135,119,186,331,114,240,130
EIF4ENIF1,1605,1320,1682,2178,1421,1552,1429,1371,2483,1682,2365,1670
EIF4G1,8466,4339,5842,10782,7032,5804,6349,6226,11204,6226,10466,9526
EIF4G2,35701,32325,38169,43692,24495,28108,25842,27860,35763,30733,33368,22681
EIF4G3,7426,4439,6923,9580,6095,6011,5956,6250,9499,8129,9777,9068
EIF4H,6253,4254,5564,8248,4602,5501,4663,5232,6721,6707,7790,6835
EIF5,6736,6643,7227,9496,4612,5292,4254,5855,6349,6003,5930,5101
EIF5A,528,388,410,514,527,360,372,570,579,771,800,620
EIF5A2,7198,4132,5627,9289,3989,7126,6343,5005,6335,4751,5880,4959
EIF5B,2854,2164,2715,3721,1699,2662,2657,1982,2724,3372,3697,2988
EIF6,2368,1620,2293,2622,1779,2085,1923,2099,2850,2052,2172,2055
ELAC2,866,573,650,1218,844,656,694,727,1192,861,1073,893
ELAPOR2,338,736,415,224,50,149,161,230,89,873,41,77
ELAVL1,4463,2568,3792,4745,1785,3148,3228,2068,2887,2754,3048,2729
ELAVL2,0,123,0,2,0,0,10,0,2,10,6,0
ELAVL4,8,1417,24,33,2,100,202,20,8,44,8,10
ELF1,2091,2369,3373,4501,2031,2602,2593,1651,3809,2171,3240,2778
ELF2,1789,1624,2439,2451,1352,1517,1439,1452,2222,2480,2044,1956
ELF3,288,6,14,20,8,7,2,8,50,24,22,36
ELF5,95,1,0,0,0,0,0,0,0,0,1,0
ELFN1,1805,449,646,3424,1014,2410,2654,863,1733,588,1587,1507
ELFN2,6,65,18,4,14,10,16,2,13,8,12,0
ELK3,991,1796,2814,1580,690,1131,994,1625,1421,2227,1180,837
ELK4,4860,4706,7109,6058,3269,4025,3980,4856,5656,6483,5237,4767
ELL,2411,2344,4195,3338,1719,1965,2079,2636,2899,2842,3038,2903
ELL2,1667,660,897,2030,578,2175,2081,643,983,954,1709,1073
ELMO1,1307,3587,5767,3755,2625,2529,2183,3485,4785,4341,4127,2382
ELMO2,1661,1597,1860,1986,1612,1451,1149,1718,2482,1595,2228,1286
ELMO3,792,138,247,501,331,295,390,258,564,184,522,356
ELMOD1,45,105,191,54,10,38,30,58,24,75,20,32
