pathway,norm_Sacral_1,norm_Free_1,norm_Free_2,norm_Sacral_2,norm_Pygo_1,norm_Sacral_3,norm_Sacral_4,norm_Free_3,norm_Pygo_2,norm_Free_4,norm_Pygo_3,norm_Pygo_4
necroptosis,0.3375750236497766,0.4149117184438536,0.418352976730259,0.4168586789832007,0.3862308214631526,0.4071020470323551,0.4005259773348937,0.39585391565341965,0.4071661687880085,0.3788503369518526,0.3909834580735488,0.3888296756250835
TNF_NFkB,0.2749265137565509,0.40440943517024175,0.4205640811756379,0.4172809567389492,0.45430414629611937,0.376005487224094,0.37490330713225295,0.43589484330661105,0.47369224042456193,0.38472942222201933,0.4301862501300924,0.4195542275220201
TLR_cGAS_STING,-0.09899064067200082,-0.01355922848504294,-2.705514097872866e-4,0.014600321718956939,0.07085315673269213,-0.007338666430747793,-0.01313629138260975,-0.019936115361637363,0.08267735670358643,-0.042168896873061724,0.006893660612433742,-0.02122326977603748
complement,-0.1983685380909293,0.15144640444112076,0.13692431829314322,-0.2563096359878872,-0.0606340376323686,-0.2555175843560103,-0.24582267974984734,-0.11781520293139693,-0.05927402126337834,0.04129363977587927,-0.11557856121509143,-0.11292311989039026
heterophil_myeloid,-0.26024662417052485,-0.14233338603082377,-0.13068228845148613,0.11459450992299497,0.2381559265869829,0.1054960219927335,0.09957134477378547,-0.10706206393038593,0.2832892839961545,-0.20708342746748665,0.16969900823593712,0.05385704052235523
angiogenesis,0.32108415618578756,0.5600896871630925,0.5445303797343228,0.3808046397471703,0.32743503893109344,0.35628690236755517,0.33584302906457936,0.5327396471849267,0.31636109585008265,0.544801431284602,0.3185049171810762,0.3229610889405201
osteogenesis,0.52441310885633,0.36847748976784594,0.43755037587684315,0.5798733951618446,0.5298815686703372,0.5683459624383813,0.5516053980962353,0.5464033251163357,0.5540720797211348,0.39069246409363284,0.5703500383127734,0.5713798621629522
ECM_remodeling,0.6688806588719113,0.700584371645561,0.6955978452212328,0.670598675671068,0.7236025038785172,0.71249190678508,0.6874304757506202,0.7397533758294752,0.7167341699755692,0.6849957121659317,0.7188595531220019,0.6848774804829443
sterol_cholesterol_fatty_acid_metabolism,0.568465641905448,0.3824502648742628,0.395703195792153,0.5589016951534695,0.549784225331819,0.5571021717131553,0.5713490509587738,0.5236254197897842,0.5548872114426983,0.42770951654565803,0.5410988285834376,0.5475587675294529
fracture_healing,0.554052529251648,0.40783847735176204,0.4650497210095517,0.618123820603528,0.5756195852613181,0.5800051359269716,0.583947540611607,0.6275776835018014,0.5634588002719505,0.4321532892028175,0.5849925648605905,0.6107187129738488
