pathway,norm_Sacral_1,norm_Free_1,norm_Free_2,norm_Sacral_2,norm_Pygo_1,norm_Sacral_3,norm_Sacral_4,norm_Free_3,norm_Pygo_2,norm_Free_4,norm_Pygo_3,norm_Pygo_4
necroptosis,0.1838325399443842,0.23481759909506517,0.23787528868360275,0.23545977282367914,0.2201006268558232,0.2299040863458548,0.22660484517132495,0.2242718103407646,0.23263774331903664,0.2154109911863128,0.22259862374510997,0.2189694584531272
TNF_NFkB,0.15148295003965107,0.23223156225218078,0.2436891356066614,0.24003489294210933,0.2628865979381443,0.21506423473433778,0.214791435368755,0.2530340999206978,0.27502299762093574,0.2215670103092784,0.2483013481363997,0.24191276764472647
TLR_cGAS_STING,-0.09291990483743057,-0.05086439333862014,-0.036615384615384605,-0.0158001586042823,0.010534496431403695,-0.028437747819191117,-0.031191118160190323,-0.049576526566217305,0.024402854877081714,-0.06439016653449647,-0.024409199048374297,-0.047298969072164965
complement,-0.16167155183399928,0.047703471592314695,0.04220109897523927,-0.16138668785654853,-0.05551474171083309,-0.1639954421763608,-0.15991738944653927,-0.10027586827289975,-0.05227628807244539,-0.012665202365870265,-0.08779432820828054,-0.09430122116689282
heterophil_myeloid,-0.21052180808881837,-0.1513941316415543,-0.1354639175257732,2.886597938144275e-4,0.0647390959555908,0.008751784298176024,-0.006410785091197468,-0.13221570182394926,0.09958762886597938,-0.17736716891356064,0.03286597938144331,-0.037998413957176846
angiogenesis,0.17294528152260114,0.3180745440126883,0.3115400475812846,0.20972244250594763,0.17415067406819984,0.19700872323552743,0.18349563838223626,0.2996320380650277,0.16825693893735127,0.3067565424266454,0.16897383029341795,0.1678636003172086
osteogenesis,0.28183663758921484,0.1747787470261697,0.224009516256939,0.32259159397303716,0.2885868358445678,0.3099540047581285,0.29600951625693894,0.2944869151467089,0.30734655035685965,0.18944647105471846,0.317421094369548,0.3140777160983347
ECM_remodeling,0.38239809674861225,0.39435685963521017,0.39138144329896907,0.3830452022204599,0.4164853291038858,0.4104837430610626,0.39617763679619344,0.42356542426645527,0.40937351308485326,0.383787470261697,0.4110674068199842,0.3876891356066614
sterol_cholesterol_fatty_acid_metabolism,0.3206903914936158,0.20420320590904462,0.21269600159179247,0.31807946344943383,0.31263436816026624,0.31687105994943154,0.32635387295748264,0.29512464997549215,0.31736606861208316,0.2333601867444446,0.30733001062812715,0.3117462643831562
fracture_healing,0.28558467266814336,0.20552505066691795,0.23210161662817552,0.3113246453315738,0.285136918508743,0.305780741857944,0.2985283027760758,0.3220059386341142,0.2816079087524156,0.21647735306593774,0.2986402413159259,0.30441391337135315
