"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"417342","CYBC1",1.22223904800758,0.370017672012962,1,"NoChange"
"396274","CTCF",1.22207831105637,0.370080039908203,1,"NoChange"
"418566","NYX",-1.22168180633711,0.370276515943807,1,"NoChange"
"769169","ALYREF",1.22164325184296,0.370276515943807,1,"NoChange"
"419929","TAF8",-1.2215503952248,0.370294205501662,1,"NoChange"
"418171","AKR1E2",-1.22149138109111,0.370294205501662,1,"NoChange"
"427053","PRUNE1",-1.221247645739,0.370409020460642,1,"NoChange"
"423976","ALDH18A1",-1.22113419130122,0.370430470257337,1,"NoChange"
"396203","NPM1",-1.22108984123545,0.370430470257337,1,"NoChange"
"427336","ECPAS",-1.22096471571805,0.370470392132684,1,"NoChange"
"427297","HOOK3",-1.22069931576322,0.370598924881351,1,"NoChange"
"420890","GMDS",1.21961406990309,0.371245773968538,1,"NoChange"
"417451","C17ORF80",-1.21950599384434,0.371274955475622,1,"NoChange"
"100859573","HM13",1.21894887004984,0.371588252945271,1,"NoChange"
"428525","LOC428525",1.21884533829353,0.371614571572742,1,"NoChange"
"422808","SEPSECS",1.21848305854435,0.371765464768395,1,"NoChange"
"107053202","TMEM192",1.21813475894017,0.371902085246009,1,"NoChange"
"768951","IGBP1",-1.21808144257631,0.371902085246009,1,"NoChange"
"395388","ATOH7",1.21762781115852,0.372150138385888,1,"NoChange"
"426230","PCNX1",1.21740296125838,0.372174868912399,1,"NoChange"
"107053171","ADGRF4",-1.21731829073858,0.372189274548504,1,"NoChange"
"417684","PITPNM3",1.21704708104128,0.372321849311848,1,"NoChange"
"421416","FOSL2",-1.21685269166275,0.372405775432867,1,"NoChange"
"101749752","LOC101749752",1.21665430404646,0.372460934556559,1,"NoChange"
"425416","RPL30",-1.21664179478468,0.372460934556559,1,"NoChange"
"100859629","H3-3C",1.21663267893566,0.395210937610092,3,"NoChange"
"429066","METTL11B",1.21657583326361,0.372463497310003,1,"NoChange"
"107048990","LOC107048990",-1.2164694984678,0.372486081948903,1,"NoChange"
"121106623","LOC121106623",-1.21641636875821,0.372486081948903,1,"NoChange"
"417115","TTLL11",-1.21603887487849,0.372686080118601,1,"NoChange"
"419399","PRKCZ",1.21592418560927,0.372709551108125,1,"NoChange"
"421004","GMNN",1.21587803089665,0.372709551108125,1,"NoChange"
"421108","LOC421108",1.21543140251178,0.37295345678905,1,"NoChange"
"373913","NR2C1",1.2152365534928,0.373037761572315,1,"NoChange"
"768456","CNTNAP2",-1.21514271924531,0.373058009654713,1,"NoChange"
"416515","FLII",-1.21494665313985,0.373143101023607,1,"NoChange"
"417549","TMEM248",1.21455017109272,0.373355358600089,1,"NoChange"
"425033","MBNL1",1.21417789495751,0.373473743021576,1,"NoChange"
"422788","RFC1",-1.21408335552579,0.37349445651969,1,"NoChange"
"422238","MOSPD1",1.21399489088852,0.373500663723949,1,"NoChange"
"420507","COMMD3",1.21392027106132,0.373500663723949,1,"NoChange"
"101748706","LOC101748706",1.21388589798371,0.373500663723949,1,"NoChange"
"418646","DMTF1",1.21354656210486,0.373620091464621,1,"NoChange"
"426090","ATP13A1",1.21346473199164,0.373620091464621,1,"NoChange"
"395473","ATP6V0A2",1.21345219513043,0.373620091464621,1,"NoChange"
"112532850","LOC112532850",1.21293535030051,0.373817114797161,1,"NoChange"
"425091","KLHL20",1.21289431837574,0.373817114797161,1,"NoChange"
"418783","IPO5",-1.21278664083546,0.37384619979991,1,"NoChange"
"414838","CYP11A1",-1.21245152498698,0.374019693846086,1,"NoChange"
"416165","MAT2B",-1.21183828272647,0.374330622424976,1,"NoChange"
"424852","ING5",1.21170539073292,0.374375749504932,1,"NoChange"
"768783","BBTN1",-1.21137902183581,0.374543834656178,1,"NoChange"
"421249","ABHD12",1.21105227928539,0.374712204070421,1,"NoChange"
"417761","CPED1",1.20965448797697,0.375365185031405,1,"NoChange"
"428281","EFTUD2",1.20904040665513,0.37559853520888,1,"NoChange"
"419621","LSM10",1.20879646791584,0.37571445904855,1,"NoChange"
"415582","SEMA4B",1.20859892217457,0.375766245670775,1,"NoChange"
"423229","LOC423229",-1.20859141021902,0.375766245670775,1,"NoChange"
"426323","TMEM138",-1.20846164950772,0.375809484368716,1,"NoChange"
"100859189","MZB1",1.20815351599217,0.37596633572821,1,"NoChange"
"427173","SLC30A5",1.20805431994625,0.375990118193671,1,"NoChange"
"422661","SULT1B",1.20776632736956,0.37608837207438,1,"NoChange"
