sample_id,condition
Exp_1,Experimental
Free_1,Free
Free_2,Free
Exp_2,Experimental
Pygo_1,Pygostyle
Exp_3,Experimental
Exp_4,Experimental
Free_3,Free
Pygo_2,Pygostyle
Free_4,Free
Pygo_3,Pygostyle
Pygo_4,Pygostyle
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
d,
