sample_id,condition
C14S1_experimental_1,experimental
C16F_controlF_3,controlF
C17F_controlF_4,controlF
C18S2_experimental_2,experimental
C1P_controlP_1,controlP
C20S1_experimental_3,experimental
C20S3_experimental_4,experimental
C2F_controlF_1,controlF
C2P_controlP_2,controlP
C3F_controlF_2,controlF
C4P_controlP_3,controlP
C9P_controlP_4,controlP
