"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"418989","TRPC6",-4.76552860855307,1.62858234154204e-05,1,"Down"
"395708","LYG3",4.76142211007443,1.66047608493599e-05,1,"Up"
"419366","PER3",-4.7613215350378,1.66047608493599e-05,1,"Down"
"422277","SH3BGRL",4.76079237598321,1.66361916427935e-05,1,"Up"
"424694","RAVER2",-4.76003681367682,1.66863944257852e-05,1,"Down"
"426986","MAPK8IP3",-4.7579428591014,1.68375118732526e-05,1,"Down"
"423446","CCNK",4.75792214413812,1.68375118732526e-05,1,"Up"
"422326","ABCB7",4.75379787829849,1.71723073158295e-05,1,"Up"
"423473","CDC42BPB",-4.75257427261359,1.72640097961884e-05,1,"Down"
"421678","REPS1",4.75201867228571,1.72989291346494e-05,1,"Up"
"416651","HBAD",4.74911136890311,1.7536691614143e-05,1,"Up"
"429525","MCM10",4.74659992908178,1.77365238133597e-05,1,"Up"
"107049270","ANKRD13D",-4.74652501725188,1.77365238133597e-05,1,"Down"
"419211","ARFGEF2",4.74195357913564,1.81284142463554e-05,1,"Up"
"373939","VAV3",4.74146098009731,1.81593777298606e-05,1,"Up"
"424713","LRRC40",4.74126897745406,1.81608419840587e-05,1,"Up"
"396465","MYH10",-4.74115107213437,1.81608419840587e-05,1,"Down"
"424895","ACAP2",-4.74003844469141,1.82476402532445e-05,1,"Down"
"396478","LAMB1",-4.73913526362675,1.8315901755214e-05,1,"Down"
"418315","SPAG17",-4.73000775799412,1.9145100149083e-05,1,"Down"
"395795","FOXD2",-4.72776440377086,1.93431287475243e-05,1,"Down"
"426769","ERLIN2",4.72762493015496,1.93431287475243e-05,1,"Up"
"425524","CSPG4",4.72617813979912,0.00287641795627839,4,"Up"
"422839","RAB28",4.72583649526096,1.95001029961339e-05,1,"Up"
"421305","GALNT14",4.72256476266049,NA,1,"Up"
"425121","KLHL5",4.7216690833639,1.98896904477412e-05,1,"Up"
"417561","SERPINF1",-4.72110173395603,1.99308988509072e-05,1,"Down"
"417871","RPS16",-4.72020257936359,2.00048041442958e-05,1,"Down"
"416887","WSCD2",-4.71824281336865,2.01839196117779e-05,1,"Down"
"417746","TRABD",4.71800808605923,2.01926989100144e-05,1,"Up"
"395304","SREBF2",4.71700957934173,2.0277447942458e-05,1,"Up"
"417295","UAP1L1",4.71309991099137,2.06557432595382e-05,1,"Up"
"419729","PRDM10",4.71044669609548,2.09114893415696e-05,1,"Up"
"417420","KPNA2",4.70871151308777,2.10751591391942e-05,1,"Up"
"423085","PTPN5",4.70597602349461,2.13341211275967e-05,1,"Up"
"395515","TXLNB",-4.70592916380907,2.13341211275967e-05,1,"Down"
"423678","PAPSS2",4.7039826883908,2.15232450319182e-05,1,"Up"
"396415","HOXD13",-4.70014013426334,2.19165688735274e-05,1,"Down"
"424640","ORC1",4.69802524384096,2.21288738762303e-05,1,"Up"
"772226","CC2D1B",4.69802524384096,2.21288738762303e-05,1,"Up"
"374259","CACNB4",-4.69773648425202,2.21443671604508e-05,1,"Down"
"427301","SLC44A1",4.69597869818317,2.23197601776263e-05,1,"Up"
"374062","FZD1",-4.6948760269758,2.24245113115702e-05,1,"Down"
"424947","ABCC5",4.69264969968148,2.26538806525944e-05,1,"Up"
"420535","RUNDC3B",-4.69210901489835,2.26976942640643e-05,1,"Down"
"424129","FKBP7",-4.68937067930024,2.29871892017796e-05,1,"Down"
"415598","CHSY3",4.68902891259331,2.300925678819e-05,1,"Up"
"423439","SYNE3",-4.68839471815989,2.306428386634e-05,1,"Down"
"395715","SERPINB10B",4.68633286381174,2.32812246172326e-05,1,"Up"
"421342","MARK1",4.68596863785293,2.33061423493605e-05,1,"Up"
"100859676","LMAN2",-4.68564457757525,2.33265200588246e-05,1,"Down"
"100857565","STX1A",-4.68472587159089,2.34071645277133e-05,1,"Down"
"100859797","ACKR4",-4.6846478222345,2.34071645277133e-05,1,"Down"
"415941","PPM1M",-4.68135146514326,2.37699662973022e-05,1,"Down"
"423682","PRKG1",4.68060349856242,2.38400120682218e-05,1,"Up"
"418865","CAB39L",4.67994505457755,2.38998253320881e-05,1,"Up"
"416097","GXYLT2",-4.67836713551522,2.40674614204682e-05,1,"Down"
"421161","TNNI1",-4.67365996026431,2.46086304550414e-05,1,"Down"
"416449","SUN1",-4.67225804999634,2.47597937191237e-05,1,"Down"
"423817","BTAF1",4.67186269445693,2.47900529291409e-05,1,"Up"
"417296","MAN1B1",4.67108272131405,2.48475677543204e-05,1,"Up"
"417105","STRBP",4.67095365643169,2.48475677543204e-05,1,"Up"
"101749360","SVBP",-4.66971192877996,2.49806841712318e-05,1,"Down"
"420264","RIMS2",4.66916723613824,2.5029436904264e-05,1,"Up"
"418662","CD99",-4.66844700245905,2.50997227601057e-05,1,"Down"
"422219","IL13RA2",-4.66740477888675,2.52087262252348e-05,1,"Down"
"417474","CLDN9",4.66726859140198,2.52087262252348e-05,1,"Up"
"417806","SLC38A1",4.66460470997957,2.55196256360956e-05,1,"Up"
"419758","UBE4A",4.66334000468033,2.56590892799985e-05,1,"Up"
"395357","CENPF",4.66250553956353,2.5745393419778e-05,1,"Up"
"421716","CENPW",4.66188413067936,2.5793932639864e-05,1,"Up"
"418308","EPHB6",-4.66183084731552,2.5793932639864e-05,1,"Down"
"415988","SUSD3",4.66094251589432,2.58874718432166e-05,1,"Up"
"396466","NGF",-4.66009895922948,2.59756919733626e-05,1,"Down"
"395823","KIF4B",4.65917955269893,2.6073812455691e-05,1,"Up"
"417933","UTP20",4.65762748941428,2.62528296077917e-05,1,"Up"
"428603","ELP4",4.65641777243795,2.6383567201431e-05,1,"Up"
"422828","BST1",4.65631812592536,2.6383567201431e-05,1,"Up"
"396290","GABRB3",4.65600904553821,2.64048476328862e-05,1,"Up"
"426366","CDC123",4.65459845401444,2.6567816134712e-05,1,"Up"
"423599","LRFN5",-4.65115225112434,2.69970147651327e-05,1,"Down"
"427635","HRH2",-4.64738513502775,2.74565299424138e-05,1,"Down"
"429083","DPYD",4.64664061999991,2.75367085960949e-05,1,"Up"
"420977","ANKS6",-4.64508287450789,2.77261330870887e-05,1,"Down"
"424045","MYO1B",-4.64461139240723,2.77703322668302e-05,1,"Down"
"428385","ASAP1",-4.64119174144367,2.82144767249066e-05,1,"Down"
"395096","TNFRSF6B",-4.63989657940594,2.83722996085144e-05,1,"Down"
"419877","MAGI3",-4.63701289598201,2.87414698812873e-05,1,"Down"
"396422","VCL",-4.63693924673988,2.87414698812873e-05,1,"Down"
"428260","STK38",4.63658746017003,2.87705921706585e-05,1,"Up"
"395209","RARRES1",-4.63643580597283,2.87718970443281e-05,1,"Down"
