ENTREZ_ID,GENE_SYM
100498679,gga-mir-2188
100498680,gga-mir-3523
100498682,gga-mir-3526
100498687,gga-mir-219b
100498688,gga-mir-3531
100498690,gga-mir-3532
100498691,gga-mir-3533
100498693,gga-mir-3535
100498694,gga-mir-3536
100498698,gga-mir-3539
100498699,gga-mir-3540
100499189,CSF1
100499421,CHDSD
100499455,CNP1
100502566,TMSB15B
100526659,RNP
100529060,TEN1
100529061,RAB5B
100529062,CDK2
100533110,PALM2AKAP2
100533998,FPGT
100533999,TNNI3K
100534590,STON1
100534591,GTF2A1L
100538348,TMEM189
100538349,UBE2V1
100677794,RAX
100736561,PANK4
100857105,SERPINF2
100857108,CHD5
100857115,GPX1
100857116,CELA3B
100857117,NA
100857134,GADL1
100857144,VRK2
100857146,LRIT2
100857155,APRT
100857158,PPP1R15B
100857161,SLC22A31
100857164,MC3R
100857165,STT3A
100857182,MOB3A
100857186,LAMTOR1
100857188,TRIM67
100857189,SAMD3
100857191,CCL21
100857196,PAPOLG
100857197,NA
100857200,IMP4
100857214,TUBA4AL
100857227,ITGA2
100857228,ZNF628
100857231,SLC5A6
100857237,MIF
100857251,MTMR11
100857260,PEAK1
100857264,TMEM161A
100857269,RAB11FIP3
100857270,NA
100857276,KIAA1644
100857277,SLN
100857278,FAM198A
100857281,CPLX2
100857284,PIRT
100857285,BLOC1S1
100857289,SMG6
100857292,NA
100857294,IP6K1
100857297,NA
100857298,G6PC
100857299,NA
100857302,NA
100857309,SLC38A8
100857311,PRR15L
100857319,SHISA3
100857323,CDC42SE1
100857332,DOK2
100857333,NA
100857335,NA
100857342,NANOS1
100857346,CCDC65
100857348,NA
100857350,PHF10
100857353,TTC34
100857356,ZNF532
100857367,NA
100857368,ZCCHC6
100857376,C5orf49
100857380,NR4A1
100857383,PNPO
100857387,WDR27
100857390,PHC2
100857391,H2AFX
100857393,CCNO
100857394,A2ML3
100857401,KIAA1257
100857402,PRRT1B
100857411,PLACL2
100857412,TCTN3
100857413,NLRC5
100857414,GABPB2
100857417,PLVAP
100857420,SYN3
100857422,POU3F4
100857430,ECE2
100857433,PLIN4
100857436,LRTOMT
100857439,H3C33
100857442,LYSMD1
100857443,OSBPL7
