#NAME,C14S1_experimental_1,C16F_controlF_3,C17F_controlF_4,C18S2_experimental_2,C1P_controlP_1,C20S1_experimental_3,C20S3_experimental_4,C2F_controlF_1,C2P_controlP_2,C3F_controlF_2,C4P_controlP_3,C9P_controlP_4
#CLASS:Group,Exp,ConF,ConF,Exp,ConP,Exp,Exp,ConF,ConP,ConF,ConP,ConP
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,8,0,0,0,2,3,0,0,0
,0,0,0,1,0,1,0,2,1,1,4,5
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,4,0,0,4,6,3,1,1,23,5,12,11
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,6,2,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,0,0,0,0,0
,0,17,0,7,0,2,6,2,2,3,0,1
,0,0,0,0,0,0,0,1,0,0,0,0
,5,3,3,0,0,0,1,0,3,1,0,1
,0,0,0,0,0,0,2,0,0,1,0,0
,97,41,40,93,40,75,89,71,49,36,24,42
,13,3,9,22,6,26,16,17,32,10,22,13
,599,250,299,953,139,553,436,213,238,212,345,335
,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,1,0,4,0,6,0,1,6
,0,10,13,20,84,37,29,11,103,14,90,54
,0,0,4,0,0,0,0,0,0,0,0,1
,0,0,0,1,0,0,0,0,0,0,0,0
,16,4,5,97,16,21,22,15,32,1,70,20
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,5,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,2,0,0,0,0
,5,24,32,9,11,20,8,6,9,0,8,12
,0,0,1,2,0,0,0,0,0,0,1,0
,0,0,0,2,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,1,0,0,0,1,0,3
,0,2,0,0,1,0,4,0,0,0,3,0
,4,5,5,12,0,2,9,6,0,9,0,2
,0,0,0,0,0,0,0,0,0,0,0,0
,2,2,0,4,2,1,4,4,0,2,0,0
,0,1,0,1,0,3,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,12,0,3,0,1,0,0,0,2,0,0,3
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,77,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,0,0,0,3,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,12,0,0,1,0,1,3,3,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,5,1,1
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,2,1,2,1,0,0,0,0,0,5,0,0
,0,8,0,0,0,0,0,0,0,0,0,0
gga-mir-7445-2,0,0,0,0,0,0,0,0,0,0,0,0
gga-mir-7445-2,0,0,0,0,0,0,0,0,0,0,0,0
gga-mir-1743,14,3,0,6,4,3,1,1,3,3,0,0
POT1,375,178,306,456,64,210,219,168,134,186,159,116
LSMEM1,0,58,10,4,16,0,1,5,5,21,8,13
IFRD1,1013,992,1045,2292,1043,1473,1455,780,1607,918,1631,1945
CTTNBP2,223,1553,3714,238,213,196,210,984,316,2260,415,335
CFTR,224,55,43,13,1,1,2,9,14,49,5,3
ASZ1,120,0,0,0,0,3,1,0,5,0,0,7
MOV10L1,9,19,10,9,2,13,9,14,22,4,20,15
PANX2,36,26,18,33,10,24,20,14,10,10,7,5
TES,89,397,337,222,173,121,110,147,321,295,184,149
TFEC,431,47,48,274,121,209,195,109,262,56,178,106
PLXNB2,2111,2184,2581,1744,1007,1235,860,1445,1585,1715,1895,1219
ZNF800,154,123,114,156,23,110,78,63,53,89,48,56
GRM8,13,26,15,0,0,2,8,9,2,8,10,6
DNAJB9,916,699,692,1353,300,910,727,398,411,437,433,554
THAP5,236,303,310,422,181,255,189,181,273,197,286,216
TSPAN12,251,264,296,276,66,196,190,172,146,240,148,177
AASS,197,647,460,211,164,86,77,128,215,254,179,139
,7,6,3,14,4,4,5,3,6,0,9,0
PTPRZ1,17,773,370,7,9,78,280,137,27,226,14,44
ZNF277,135,105,122,157,68,108,84,88,54,72,81,95
FAM3C,1434,1187,1909,1913,261,1247,1053,985,546,1451,809,1223
LRRN3,7,137,0,11,0,19,17,0,3,7,14,4
DOCK4,580,700,705,1214,433,784,568,439,805,412,808,573
WNT16,3,5,4,4,0,3,1,0,1,0,0,1
CPED1,1046,840,1281,1766,774,1016,929,993,1011,624,1322,1372
ING3,311,469,698,536,199,446,310,323,461,483,486,265
IMMP2L,78,49,77,117,25,69,77,44,43,52,68,72
MDFIC,2128,2008,2254,3867,717,2443,2416,1194,1746,1421,1584,1827
FOXP2,849,828,1595,876,274,642,577,609,513,727,527,494
KCND2,30,130,45,10,11,8,23,18,5,27,9,3
,0,0,1,0,0,0,0,0,0,0,0,0
ASB11,1,18,2,1,3,0,0,0,2,20,5,8
ANKRD26,508,464,535,658,242,433,397,390,362,488,492,339
GPR37,24,129,55,4,13,17,13,23,6,38,7,3
VEGFD,68,690,1471,20,78,5,5,749,27,970,39,23
LSM8,30,24,20,49,16,24,35,37,15,48,43,40
ASB9,964,158,192,1252,425,578,625,130,517,113,532,455
PRKX,583,696,737,749,138,387,438,386,326,467,230,303
ANOS1,47,1145,1782,77,105,76,36,551,120,1110,330,137
GPR85,142,88,36,215,31,111,67,21,55,19,21,68
BMT2,1260,347,476,1683,319,807,647,371,471,353,469,796
NLGN4,6,74,53,1,2,5,14,18,1,48,5,4
TMEM168,788,480,640,1148,479,720,697,466,688,568,739,617
BMX,0,0,1,0,0,0,1,0,2,0,3,0
WNT2,1,12,20,0,5,0,0,11,2,10,0,3
GRPR,17,7,17,24,2,14,16,6,13,12,6,6
,80,50,90,93,37,59,46,33,62,56,81,28
CAPZA2,1817,1813,1872,2462,661,1575,1444,802,921,1011,1120,1110
AP1S2,771,972,1496,1261,424,815,761,723,833,1069,721,664
ZRSR2,352,421,541,452,207,352,284,306,362,415,446,346
MET,198,399,370,26,45,28,24,124,34,234,24,18
TMEM27,2304,1,12,43,3,6,7,2,6,2,3,4
CAV2,158,1596,2026,161,49,112,56,511,58,1331,157,157
,0,0,0,0,0,0,0,0,0,0,0,0
ACE2,141,1,1,8,1,1,4,0,0,0,4,0
PPP1R3A,0,1163,53,0,492,0,1,18,161,576,150,186
ASMT,0,0,1,2,0,1,0,1,4,2,0,2
TRABD,396,269,384,649,305,384,375,280,446,314,504,403
SELENOO,209,131,167,224,135,190,170,83,157,116,321,186
AKAP17A,416,397,495,698,333,460,406,427,560,371,538,526
FHIP1B,465,335,438,487,411,264,265,397,577,370,360,330
TUBGCP6,648,467,628,709,327,441,427,404,550,464,585,456
CNGA4,7,4,18,6,10,3,1,5,14,2,3,7
CCKBR,7,4,6,8,4,6,7,12,29,5,12,19
HDAC10,270,155,186,275,113,194,182,170,174,150,164,154
SMPD1,714,398,522,671,496,427,448,773,850,344,625,398
,0,1,0,0,0,0,0,1,0,0,0,0
TBLX1,2748,2216,3570,3478,1521,2382,2085,1979,2080,2777,2350,2273
APBB1,244,211,319,269,227,172,124,299,287,226,246,197
PIGA,127,143,225,192,39,112,124,89,132,127,68,81
MAPK12,109,199,232,446,188,175,181,116,349,174,243,173
HPX,12,156,98,23,35,7,13,45,60,80,72,16
TRIM3,469,490,759,580,396,290,283,591,597,534,421,464
MOSPD2,604,435,590,797,201,582,549,256,281,384,389,398
ARFIP2,493,293,426,529,418,329,329,441,622,409,526,376
MAPK11,186,129,97,340,296,237,184,166,476,47,388,217
FANCB,20,26,21,126,35,61,64,19,57,45,76,51
TIMM10B,50,47,57,62,51,28,19,56,71,20,41,26
ARL8BL,26,173,177,70,55,55,29,88,83,96,75,54
RPS11,1817,1980,2677,2529,2047,1872,1748,1485,3000,1262,3012,1681
GLRA2,0,4,0,0,0,0,0,0,0,0,0,0
SPAM1,20,4,4,105,15,32,25,30,51,4,90,27
,0,0,0,0,3,0,0,0,0,0,1,0
SHOX,7,3,0,0,0,0,1,0,0,0,0,0
HYAL6,0,0,5,0,0,3,1,3,0,0,12,1
,208,300,443,364,405,196,190,356,522,324,535,390
SYAP1,526,613,743,636,118,342,391,324,194,337,303,357
WASL,1004,1120,1700,937,238,545,506,723,371,917,480,524
ILK,827,1147,1635,1248,1214,823,821,1202,1799,1097,1311,709
CTPS2,281,145,163,139,44,115,82,86,85,118,96,95
LMOD2,4,234,84,4,381,0,0,4,65,858,74,156
TAF10,167,117,168,161,137,109,121,124,187,100,167,122
ASB15,0,82,2,0,30,4,1,6,11,48,5,5
NDUFA5,203,225,138,189,115,127,113,114,117,117,152,85
DCHS1,982,1255,2452,1702,1919,934,835,2057,2818,1666,2221,1499
IQUB,44,58,29,90,30,51,20,47,63,28,56,49
,0,0,0,0,0,0,0,0,0,0,0,0
LCMT2,450,407,443,691,444,405,340,488,575,494,585,553
ATP6AP1,2848,1128,1743,3249,1975,3232,2492,1909,2872,835,2510,1447
PNPLA4,115,50,109,160,27,61,57,25,35,54,76,36
SLC13A1,1088,3,12,14,12,7,9,5,23,11,5,16
,0,0,0,0,0,0,0,0,0,0,0,0
STARD10,29,11,31,36,32,2,18,36,47,37,50,48
STS,735,486,679,424,239,274,227,374,323,468,440,194
,54,56,57,100,93,39,55,87,118,63,106,91
PUDP,444,212,304,656,73,387,397,197,228,212,273,266
,0,3,0,0,0,0,0,4,2,0,2,0
,10,23,11,48,22,22,48,18,42,18,75,18
CADPS2,134,92,89,53,30,13,17,76,27,43,50,27
,1,0,0,0,1,0,1,0,0,0,0,0
,0,0,2,0,0,1,0,0,0,1,0,0
AVPR2C,0,114,100,8,8,8,5,0,1,63,53,22
ARRB1,471,521,662,967,818,422,547,492,1548,511,1079,624
PNPLA8,928,645,915,1203,293,710,680,537,606,693,651,794
WDR73,162,109,207,165,197,113,91,186,233,204,210,125
NRCAM,62,183,48,30,37,55,44,19,19,49,21,48
,2,1,1,1,2,0,2,2,1,0,1,0
CNTN1,44,1561,886,148,99,128,187,230,169,317,100,91
P2RY8,135,359,418,820,445,594,563,316,831,300,612,453
,0,2,9,2,2,6,5,13,11,2,8,8
SLCO2B1,670,427,599,714,531,421,433,630,1294,425,935,465
ASMTL,210,138,227,193,76,203,124,142,164,161,191,149
SLC25A6,11042,3610,5071,6030,5407,5118,3851,4788,7426,3416,6454,4640
PGM2L1,129,263,223,442,287,247,267,167,480,194,269,193
KCNE3,13,48,43,37,32,7,18,69,40,58,36,10
LIPT2,43,24,45,21,29,32,12,58,57,53,36,17
PDZRN4,83,82,188,95,69,122,50,140,76,85,145,109
POLD3,455,340,517,488,359,427,335,301,545,362,503,345
CSF2RA,48,126,110,354,186,217,191,53,378,76,327,159
ZCRB1,252,316,377,421,65,331,277,127,174,324,261,240
TAB3,793,762,903,1110,448,772,741,531,935,494,712,452
PPHLN1,370,406,450,754,288,497,495,352,487,399,607,366
,58,76,51,318,62,152,194,32,129,19,93,78
PRICKLE1,2267,743,1271,2440,856,1646,1669,923,1039,791,1579,1244
,1,4,5,28,2,1,6,0,4,0,3,1
CHRDL2,121,373,821,424,69,252,337,548,264,442,113,553
ADAMTS20,12,181,152,10,148,22,59,41,71,258,57,106
RNF169,202,212,351,259,249,202,200,267,368,236,376,226
XRRA1,3,2,0,15,28,15,8,1,50,0,32,0
CYBB,101,156,205,545,399,393,311,84,754,97,429,246
PUS7L,192,91,153,173,69,124,126,88,105,111,141,124
CRLF2,13,14,8,56,28,16,19,15,40,3,42,20
XK,136,161,132,377,165,251,294,87,281,100,242,202
IRAK4,259,246,328,351,207,289,262,245,304,325,299,282
SMPX,3,189,46,1,167,0,0,2,29,290,40,71
NEU3,728,470,648,981,796,653,626,671,1181,498,1094,595
NEU3,728,470,648,981,796,653,626,671,1181,498,1094,595
KLHL34,0,287,60,0,207,2,0,10,53,847,79,178
P4HA3,411,506,923,422,292,355,458,367,331,657,288,258
TLR7,78,314,199,417,201,374,356,104,610,119,357,221
TWF1,711,586,798,504,146,425,357,395,257,530,304,308
PRPS2,40,106,26,165,91,146,201,36,189,22,117,121
NARS2,268,202,207,244,153,153,162,182,234,198,257,253
,10,8,17,24,17,9,13,18,12,2,12,6
USP35,12,32,8,25,24,22,15,20,42,15,23,16
TMEM117,405,83,145,341,87,281,303,101,102,56,119,150
,0,0,0,0,0,0,0,0,0,0,0,0
FEZF1,0,0,0,0,0,0,0,0,0,0,0,0
CNKSR2,156,1393,2874,25,51,37,26,859,106,1509,167,157
,105,0,0,0,1,0,0,0,0,0,0,0
,0,2,0,0,0,0,0,0,0,0,0,4
,0,0,0,0,0,0,0,0,0,0,0,0
FRMPD4,28,16,26,7,8,9,2,3,7,8,3,7
,3,0,1,3,3,0,1,0,3,0,0,0
KCTD21,248,304,401,268,107,273,204,207,208,294,178,135
,16,1,4,1,5,4,7,6,9,1,7,0
,4,0,0,0,0,0,0,0,0,0,0,0
,1,1,0,1,0,0,0,0,1,0,0,0
,0,0,0,2,0,0,2,1,2,0,2,0
,10,4,9,2,9,4,0,7,11,0,6,9
,4,7,6,25,32,24,18,8,8,0,68,11
ALG8,258,155,239,487,219,261,282,137,347,151,304,150
,0,0,0,0,0,0,0,4,0,0,0,0
,1,5,4,3,0,11,0,2,3,3,3,3
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,1,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,2,0
MSL3,495,366,543,489,200,377,364,244,386,417,392,384
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
NDUFC2,241,227,233,238,174,145,83,256,253,122,197,60
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,0,0,0,1,0
ARHGAP6,402,607,1010,239,129,154,124,321,186,693,216,184
,2,0,0,0,0,0,0,0,0,0,0,0
