"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",213.322474173403,7.96905984230738,1.84606128577867,18.1475101471525,NA,NA
"A4GALT",620.709336237817,-1.62945547242331,0.384059385070899,19.4455841008938,5.99025159963573e-05,0.000260393920364276
"AAAS",840.989298509177,0.296336578101681,0.284044864977616,6.88073084675395,0.0320529702828727,0.0570055990473875
"AACS",1936.51119147995,0.853726076102598,0.228588528735567,13.9146537707137,0.000951637012420156,0.00285563692361624
"AADAC",553.14626854602,0.921370368356611,0.44769698578674,4.51080023449765,0.104831590416176,0.153425400557007
"AADACL3C",84.1392192364553,0.552120676432342,0.498948320863463,1.39221005726898,0.498523261024144,0.562698118458966
"AADAT",479.771583296431,0.378476326925997,0.327914357467017,8.06700530732803,0.0177121815374501,0.0346320686721316
"AAED1",395.794860487913,0.14660453153632,0.455627332090496,4.26979106670566,0.118256943637778,0.169706766635829
"AAGAB",1588.37510464616,0.00429446835663011,0.105657926918486,0.0108644790643666,0.994582488400364,0.995341518536513
"AAK1",6672.15718865711,0.235382672635521,0.158864713639096,6.06804839503661,0.0481215971465006,0.0802389219444758
"AAMDC",443.268381378302,-0.363274712384087,0.202269934838631,4.87705636191339,0.0872892309154808,0.131720688308976
"AAMP",795.136271503087,-0.134593425901551,0.149116665609814,10.6015123412845,0.00498782083686199,0.0118273346939509
"AANAT",9.81418755640548,0.525080199249718,0.855507138702562,0.443007110803094,0.80131307315313,0.833518146426339
"AAR2",930.695668730114,-0.178159009836674,0.108502086842739,9.73685189111001,0.00768545309357133,0.0170399619406968
"AARS1",2963.11255604722,-0.202504289916632,0.200261719000424,7.11833773892724,0.0284624709150018,0.051520564683873
"AARS2",663.910820478953,-0.201436682459028,0.183928737661809,24.2511075129945,5.41924659657199e-06,3.21558312381813e-05
"AARSD1",778.221387396151,-0.346036441789418,0.166790679857017,7.13886072937242,0.0281718968177813,0.0510650785199592
"AASDH",971.723200633917,0.0919534559930302,0.16296448800614,5.42936464556109,0.066225988153475,0.104586438524479
"AASDHPPT",210.232093997274,0.832098201985922,0.255119974645785,14.3262287214438,0.000774638289549576,0.00239389397571723
"AASS",512.88333281091,-1.49700804445674,0.421920960015386,13.503808012931,0.00116865237943672,0.00341904694648292
"AATF",378.332560019109,0.249681909510344,0.227414569850305,14.8502063787801,0.000596099362380993,0.00191276907961405
"AATK",571.39889047561,-1.27893514167559,0.231071377431433,31.8244388939856,1.22860109863649e-07,1.08289396311485e-06
"ABAT",2223.84265183833,1.63708906482308,0.508146832801354,12.9254883123519,NA,NA
"ABCA1",4867.68209856625,0.141187998497963,0.275177426798086,6.48378692860595,0.0390898098226989,0.0672798505946467
"ABCA12",40.0134416973066,0.105276541187558,0.73234937904735,0.224858060203857,0.893660767871613,0.912526767816298
"ABCA13",9.66058659426267,-0.115057863489591,1.16245656876692,0.156331445767179,0.924811151472499,0.938407807555535
"ABCA2",3044.31454284219,-0.117264491564888,0.191866803777468,7.5033649145438,0.0234782115202161,0.0439476371707518
"ABCA3",3897.12076073143,-0.367502545379939,0.244367659285224,5.08143182937178,0.0788099583828686,0.120888371306812
"ABCA4",55.7806746817986,0.359061293077892,0.383856030767158,4.06983939550777,0.130690976861648,0.184256947667085
"ABCA5",1993.76187036105,-0.525909192890216,0.149421879643019,21.2735560495098,2.40162943975755e-05,0.00011879308737644
"ABCB1",546.202066577032,-0.12901295177571,0.425003960825593,14.9962335757961,0.000554126926696529,0.00179615654734206
"ABCB10",1771.72182617781,1.82345111597262,0.34972452968874,28.6791476506093,5.92109753213122e-07,4.42844062574224e-06
"ABCB11",570.964170691563,2.6730400952611,0.685349325837133,16.6787318511021,NA,NA
"ABCB5",223.249585460101,3.32125163654416,0.898034113413824,22.6319264099274,NA,NA
"ABCB6",364.518324566496,0.123359188358813,0.318038376419289,12.0593623524596,0.0024062610295495,0.00636741988133256
"ABCB7",2341.94567459116,0.82634314779153,0.173827924497584,23.1362765725088,9.46283737201832e-06,5.24536597210096e-05
"ABCB8",430.318408227238,-0.624598819568974,0.235425043300787,8.70857130609417,0.0128516168192382,0.0263004650079156
"ABCB9",254.215466002138,0.633750561433397,0.272873542083679,6.12561138993391,0.0467563270252158,0.07826098022289
"ABCC1",3563.48115178025,-0.431419468796728,0.159716708960636,8.16016023845879,0.01690611109385,0.0333376646833113
"ABCC3",2153.9221875086,0.828438969501624,0.265930366422691,34.104553903071,3.92907406957976e-08,3.84183365113342e-07
"ABCC4",2741.93440748342,0.120676497809054,0.198528101804664,0.404118353370137,0.817046576403671,0.846749534133836
"ABCC5",5406.77188654648,0.595195717298429,0.126835703130714,27.1130017968621,1.29564632010625e-06,8.85420837863e-06
"ABCC6",1023.00513860216,0.298836725546894,0.360907453449113,1.48452752163422,0.476035065323906,0.541405593230485
"ABCC8",340.291956794635,-2.35379679884792,0.517100266774237,25.282461942358,3.23581098295863e-06,2.01525283487481e-05
"ABCC9",1862.9798652515,-0.546730608065104,0.207157461667577,8.52102641817564,0.0141150565756992,0.0285690100679819
"ABCD2",2359.49124432957,-0.241389683311697,0.239913409597181,4.15317105670238,0.125357511952519,0.177906367973019
"ABCD3",2186.376147499,0.22210787041243,0.314595324317643,10.5951895062645,0.0050036143728189,0.0118446991872552
"ABCD4",859.597033614022,0.65703854733325,0.239799572777346,13.4815260305684,0.00118174512293575,0.00345286364766779
"ABCE1",3245.82286169254,0.312426785905035,0.0940125855629048,20.6551525131652,3.27182917218488e-05,0.000155076818835847
"ABCF2",1728.92964834025,0.18979621145232,0.161733591170621,22.9990315006219,1.01350002812399e-05,5.55307675576573e-05
"ABCF3",1894.74863402559,-0.144804902619098,0.173343949052674,15.6810400372969,0.000393464378631262,0.00133400361867456
"ABCG1",761.200552410335,0.625566356997573,0.430438555992888,8.09575642581018,0.0174593804545134,0.0342228214788518
"ABCG2",961.477643282912,-0.651639112386911,0.25581720227435,6.44949872406718,0.0397657471332899,0.0682706419371263
"ABCG4",23.4231615869895,-1.26084958633591,0.689079744413454,3.3739142207944,0.185081851650661,0.247432715584629
"ABCG5",25.3913886891284,0.320139543452277,0.586668051108715,3.22403194599937,0.199485051955718,0.26346492649747
"ABCG8",12.293990682226,-0.20583706259356,0.879045989467091,6.67188350721787,0.0355810618346057,0.0621838726154326
"ABHD1",224.221617760038,-0.679033961290146,0.334083480339397,5.57749489512739,0.0614981954077438,0.0982938383264074
"ABHD10",636.415629536409,-0.0943120514191046,0.180775427450625,6.19093242002657,0.045253909715632,0.076183146392487
"ABHD11",89.8523704380624,0.0855743582873257,0.4321190553683,1.13921795424736,0.565746615322952,0.624538542142127
"ABHD12",1896.70819712446,0.164039750704839,0.142062442823169,4.38705296637804,0.111522771170477,0.161456298497788
"ABHD12B",178.772525740989,-0.652544780666212,0.394258127330347,4.13328133416638,0.126610394563813,0.179360926256407
"ABHD13",1254.9380138199,0.366790817193779,0.275289135613818,11.1698808717097,0.00375397336532543,0.00932869805712302
"ABHD14A",115.30484275306,-0.704045980555238,0.527679634109213,3.40208837058421,0.182492868161171,0.244386795647128
"ABHD17A",695.744346116663,0.11925036093307,0.141805755880391,0.770593364232042,0.680248788613756,0.728124088810045
"ABHD17B",344.201098954632,0.716539247196554,0.291023732681815,10.7270758496813,0.00468430404084118,0.0112206527887168
"ABHD17C",570.837039018977,-0.049483798209393,0.250277386701398,1.59447378047273,0.450572226208869,0.517180841637529
"ABHD18",600.866629456958,0.150772965770161,0.176170736436897,4.66140663378181,0.0972273414054478,0.144101103009807
"ABHD2",4219.53893549218,-0.642389913812593,0.191468012271059,13.0917781553802,0.00143600679325248,0.00406520758358061
"ABHD3",48.3949891459049,-0.0354258546215269,0.889166541504086,7.41923481059841,0.0244868900340676,0.0454894185710791
"ABHD4",794.914681002728,0.0731466601787134,0.209377115800889,3.09835801772982,0.212422299081648,0.277017455664266
"ABHD6",301.587064137899,-0.299920898855059,0.275248322801967,1.99060671314982,0.369611303516478,0.438955603781564
"ABHD8",31.403635992916,0.290379050041042,0.839049927729669,0.91673780682207,0.632314170322063,0.684564229194505
"ABI1",3968.82211741522,-0.510563703487829,0.176170636335802,11.11342116225,0.00386145748060096,0.00954806645423266
"ABI2",5102.22661387695,0.200071568220429,0.109713359875823,3.95030952595317,0.138739838790928,0.193730191364237
"ABI3",257.607030227203,0.938239393904872,0.348225915072071,8.75334800905944,0.0125670872632815,0.0258121761018532
"ABI3BP",16360.2588255843,-7.7933345111243,0.454663164311994,212.710019097632,6.46556124894296e-47,1.9565783041032e-44
"ABL1",3028.59288631395,-1.42298075555699,0.130051549964275,126.965029532858,2.69087881531898e-28,2.52045649034878e-26
"ABL2",2348.34498756504,-0.192433665496539,0.1440333052706,1.78415491747847,0.409803517917833,0.478435168509869
"ABLIM1",2601.80808262085,-1.90122605011114,0.791148500231048,12.7619604744858,NA,NA
"ABLIM2",458.952354521829,-0.756913717930004,0.329289221855141,5.30719259021316,0.0703975867794557,0.110204578746669
"ABLIM3",596.417670627954,0.819335750582535,0.168719060238865,23.5022562376379,7.88042974968957e-06,4.47568969710473e-05
"ABR",4394.44337934532,-0.0795889150389729,0.197822903896423,2.52088349024848,0.283528751388465,0.352380615405083
"ABRA",202.250367764979,-1.58528271968604,0.79549124422483,6.83883081272066,0.0327315640112455,0.058037547845661
"ABRACL",206.288657078342,0.185247441692285,0.325670404826756,5.116432111503,0.0774427708730846,0.119178456362517
"ABTB1",2173.07759428882,-0.402420544452048,0.148995799680154,26.5535276591055,1.71385758663317e-06,1.1447055595611e-05
"ABTB2",2368.81529354523,0.862256666272756,0.258442539981924,10.9733591351181,0.00414157318247117,0.0101198440371687
"ACAA1",765.482261767722,0.150767230599394,0.485998300297126,1.70434627599781,NA,NA
"ACAA2",1405.93209914332,0.850540916257694,0.468226399776243,4.15176499979998,0.125445672836166,0.17801007945322
"ACACA",5914.08960544573,0.233749850454684,0.126033361232248,5.83494627215012,0.0540701427186651,0.0883530635871413
"ACACB",284.610549318357,-0.616583722028643,0.50034607343937,3.36314017957216,0.186081581765938,0.2485721367291
"ACAD11",513.951250729675,0.840882323653009,0.551557211212236,5.14185653830927,NA,NA
"ACAD8",409.576000802317,-0.0203041592164968,0.480169661014253,0.163250726077365,0.92161716588315,0.935810530134469
"ACAD9",2248.82638357498,0.316955362402879,0.185223014979005,3.42101529449766,0.180773999896225,0.242415037697448
"ACADL",1807.12339624673,-0.0491814404258944,0.259660764728857,0.504816984457165,0.776927304472731,0.812088924575961
"ACADS",1365.18168228981,0.648294567727413,0.383906880960178,2.92861942460203,0.23123755683902,0.297738428213641
"ACADSB",1269.85504710097,0.28187477662885,0.411066646496455,5.67495087776189,0.0585733514712555,0.0944117309565362
"ACAN",506079.080829177,1.55698348575307,0.316206429351866,23.2004247271994,9.16414139953367e-06,5.11372088876106e-05
"ACAP2",2240.60324022215,-0.453632385466968,0.095702280417663,24.1782119737106,5.62040975341984e-06,3.31660379549305e-05
"ACAP3",2283.68240812153,-1.46083719462847,0.214749427501895,44.6484037779001,2.01707620777065e-10,3.06377521288407e-09
"ACAT1",1835.98789410505,0.222361961312216,0.160549303717222,6.07287834532988,0.0480055248975857,0.0801156073840859
"ACAT2",587.140017271915,1.37743888068793,0.223186789401053,39.9195517080691,2.14575180521092e-09,2.72889685399776e-08
"ACBD3",2343.4191156421,-0.210827475034117,0.131199671561459,5.14948154362264,0.0761735665751165,0.117547127709143
"ACBD4",301.444848784901,-0.0298270898542548,0.315906134202579,1.66889467984532,0.43411433280949,0.502000524771468
"ACBD5",1353.95420376015,-0.0198894144935913,0.18139202664091,10.4415409428362,0.00540316453845484,0.0126198590704223
"ACBD6",558.318074684621,0.0125429246894624,0.12964995052858,9.30919539020607,0.0095177415058632,0.0204568175655067
"ACBD7",38.79991176157,-0.464245947493208,0.571296250324956,3.44082571640415,0.178992234242596,0.240380786132353
"ACE",469.455317965269,0.236989303569298,0.743389818616977,3.2273079134707,NA,NA
"ACER2",314.626194137496,-0.061432621523148,0.327129276794427,0.333056787354451,0.846598778541715,0.872168189974626
"ACER3",2109.15130525497,-0.541867946906857,0.149185135548612,31.4599296184966,1.47422266148365e-07,1.28120588003167e-06
"ACHE",112.924975908742,-2.33130509060542,0.857799866553177,6.73010488140224,0.0345602037091692,0.0607144275343278
"ACKR2",118.065136433134,-2.15751637346731,0.449465379011067,23.1390197939963,9.44986693983833e-06,5.24340658028255e-05
"ACKR4",344.440721578469,-3.17618042999962,0.677998710216083,36.5106718905869,1.17979984199184e-08,1.28331776361177e-07
"ACLY",8742.53267307973,1.45872501324586,0.186927273735037,64.6817422420957,9.00612835427761e-15,2.47762999620476e-13
"ACMSD",89.379374203422,2.98697445163748,0.934430228674157,21.3030687748009,NA,NA
"ACO1",2144.69243760054,1.07532930433127,0.410595718520225,7.7646307681396,0.0206030659019329,0.0394032383365114
"ACO2",5495.74773156248,0.380210995064755,0.264104605437731,9.98985786785155,0.00677220235570247,0.0153143384177046
"ACOD1",47.9324359071055,-1.12362134491413,0.634131112283718,4.8947940388399,0.0865184996244677,0.130770611590786
"ACOD1L",189.750398270565,-1.76559168826704,0.497632030199313,87.688384944928,9.09304092471279e-20,4.3272608465105e-18
"ACOT11",304.475071251561,0.531031157221746,0.440554919121829,1.4453651907522,0.485448246455766,0.55057276616096
"ACOT12",65.941630505976,2.60084437699568,1.01391909094886,9.02956255622988,NA,NA
"ACOT7",258.466210644914,-0.506123180167772,0.37674545237933,1.93165819550461,0.380667458333099,0.450073867285838
"ACOT8",394.206036108476,0.642594119164504,0.285288753954547,12.0545409362248,0.00241206882017741,0.00637992743517118
"ACOT9",1922.48629533475,-0.276910979645332,0.284939214270788,0.974715327833508,0.614247299556606,0.668820613466839
