pathway,gene_id,symbol,label,module,log2FC_used,padj,present_in_data,node_status,signif_flag
inflammasome,ENSGALG00010005476,NFKB1,NF-κB,Priming,0.610106933530188,1.06775327346124e-5,TRUE,Present; significant,TRUE
inflammasome,ENSGALG00010001277,RELA,RelA,Priming,0.254400649593365,0.202068083504206,TRUE,Present; not significant,FALSE
inflammasome,NA,NLRP3,NLRP3↑,Priming targets,NA,NA,FALSE,Missing gene,FALSE
inflammasome,NA,IL1B,pro-IL-1β,Priming targets,NA,NA,FALSE,Missing gene,FALSE
inflammasome,NA,NLRP3,NLRP3,Sensor assembly,NA,NA,FALSE,Missing gene,FALSE
inflammasome,ENSGALG00010012413,NEK7,NEK7,Sensor assembly,0.634577149615381,0.00127838679922745,TRUE,Present; significant,TRUE
inflammasome,NA,TXNIP,TXNIP,Sensor assembly,-1.50255364293008,2.44134024385852e-12,TRUE,Present; significant,TRUE
inflammasome,NA,PYCARD,ASC,Sensor assembly,NA,NA,FALSE,Missing gene,FALSE
inflammasome,NA,AIM2,AIM2,Sensor assembly,NA,NA,FALSE,Missing gene,FALSE
inflammasome,NA,NLRC4,NLRC4,Sensor assembly,NA,NA,FALSE,Missing gene,FALSE
inflammasome,ENSGALG00010029604,CASP1,CASP1,Effectors,-0.137959075367057,0.550855665314848,TRUE,Present; not significant,FALSE
inflammasome,NA,IL1B,IL-1β,Outputs,NA,NA,FALSE,Missing gene,FALSE
inflammasome,ENSGALG00010025073,IL18,IL-18,Outputs,-0.106877091064047,0.790642386222625,TRUE,Present; not significant,FALSE
inflammasome,NA,GSDMD,GSDMD,Outputs,NA,NA,FALSE,Missing gene,FALSE
necroptosis,NA,TNF,TNF,Ligand/Receptor,NA,NA,FALSE,Missing gene,FALSE
necroptosis,ENSGALG00010024837,TNFRSF1A,TNFRSF1A,Ligand/Receptor,0.750361808862701,1.26104762481224e-8,TRUE,Present; significant,TRUE
necroptosis,ENSGALG00010024696,TRADD,TRADD,Adaptor,-0.344645436352405,0.0254594224501849,TRUE,Present; significant,TRUE
necroptosis,ENSGALG00010011418,RIPK1,RIPK1,Core necroptosis,-0.119729479394239,0.505904529528451,TRUE,Present; not significant,FALSE
necroptosis,ENSGALG00010024764,RIPK3,RIPK3*,Core necroptosis,-3.61082742337914,9.47754785868153e-10,TRUE,Present; significant,TRUE
necroptosis,ENSGALG00010023272,MLKL,MLKL,Executioner,-3.08150810535708,1.889706312871e-4,TRUE,Present; significant,TRUE
necroptosis,NA,ZBP1,ZBP1,Inputs,NA,NA,FALSE,Missing gene,FALSE
necroptosis,ENSGALG00010024903,CASP8,CASP8,Cross-talk,-0.658928374766502,0.0323770313154309,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010018503,BMP2,BMP2,BMP signaling,0.465045943966925,0.22812449222512,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010018174,BMP4,BMP4,BMP signaling,-0.231419483717287,0.590954457071543,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010015033,BMP7,BMP7,BMP signaling,0.994884584593551,4.5146756758966e-4,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010010465,BMPR1A,BMPR1A,BMP signaling,0.736188908559173,0.00117054584606473,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010025207,BMPR2,BMPR2,BMP signaling,0.255732683967185,0.296711524507958,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010006404,SMAD1,SMAD1,BMP signaling,0.266658775828682,0.142709795278562,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010015829,SMAD5,SMAD5,BMP signaling,0.666252250221157,0.0028926834798672,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010012103,SMAD4,SMAD4,BMP signaling,1.65958683972956,4.69866730685771e-13,TRUE,Present; significant,TRUE
osteoblast,NA,WNT3A,Wnt3a,Wnt signaling,NA,NA,FALSE,Missing gene,FALSE
osteoblast,ENSGALG00010004791,FZD1,Fzd1,Wnt signaling,0.710890244023576,0.0118563830474004,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010025790,LRP5,LRP5,Wnt signaling,0.586306626760536,0.0562181288037364,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010021562,LRP6,LRP6,Wnt signaling,0.673541211785137,0.00339802116194046,TRUE,Present; significant,TRUE
osteoblast,NA,DVL2,DVL2,Wnt signaling,NA,NA,FALSE,Missing gene,FALSE
osteoblast,NA,GSK3B,GSK3β,Wnt signaling,-0.118689538898227,0.452031996448803,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010008333,APC,APC,Wnt signaling,0.272770014182881,0.160410198836954,TRUE,Present; not significant,FALSE
osteoblast,ENSGALG00010029221,AXIN2,Axin2,Wnt signaling,0.843385955426143,0.00151000589553428,TRUE,Present; significant,TRUE
osteoblast,ENSGALG00010016258,CTNNB1,β-catenin,Wnt signaling,-0.666983944137463,0.0139381670931587,TRUE,Present; significant,TRUE
