"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"420492","APBB1IP",-5.46324368402517,7.92755475949924e-07,1,"Down"
"423758","GBF1",-5.46110138400984,8.01231698086009e-07,1,"Down"
"419216","EPB42",-5.46083832418413,8.01270357442223e-07,1,"Down"
"107052797","PHLDA1",5.45889401187582,8.0893447880736e-07,1,"Up"
"416906","SEZ6L",5.4580673243432,8.11547934159026e-07,1,"Up"
"396513","EPHB2",5.45547722584456,8.22292844063618e-07,1,"Up"
"396276","COL14A1",5.45501957194277,8.23239123513981e-07,1,"Up"
"416693","NET1",5.45354131803546,8.289346462054e-07,1,"Up"
"417672","TNFAIP1",5.45220744137583,8.33991924541832e-07,1,"Up"
"424451","FAM129A",5.44894313102618,8.48237534846736e-07,1,"Up"
"420249","SPAG1",5.44845847202502,8.49346991916691e-07,1,"Up"
"419087","ACER3",5.44553519212068,8.62194523397508e-07,1,"Up"
"426867","HCLS1",-5.44144925831613,8.80490249674386e-07,1,"Down"
"415382","MTMR10",5.44129355333393,8.80490249674386e-07,1,"Up"
"395830","PON1",-5.44020908410023,8.84619345266152e-07,1,"Down"
"417833","MSRB3",5.43825037156486,8.93139651436354e-07,1,"Up"
"425359","MVD",-5.43373844272621,9.14745431214603e-07,1,"Down"
"395814","FMOD",5.43330320817076,9.15694299268676e-07,1,"Up"
"420078","DOT1L",-5.43159412177242,9.2259638187083e-07,1,"Down"
"427166","SGTB",5.43146393717781,9.2259638187083e-07,1,"Up"
"426234","SEMA3B",5.42963450070551,9.30801676617945e-07,1,"Up"
"373907","AHR1A",5.42557285041183,9.49174195638153e-07,1,"Up"
"427971","ADAMTS5",5.42555010324033,9.49174195638153e-07,1,"Up"
"770107","WDFY2",5.42539821650041,9.49174195638153e-07,1,"Up"
"425542","DDOST",-5.41985536554218,9.77718202677608e-07,1,"Down"
"429536","TBCEL",-5.41780311933886,9.86314227576684e-07,1,"Down"
"395527","CD9",5.4177941451239,9.86314227576684e-07,1,"Up"
"425774","CMIP",-5.4171295505943,9.88616797324172e-07,1,"Down"
"427138","PLPP1",5.41276558391415,1.01162555893282e-06,1,"Up"
"420219","NECAB1",5.41131741831957,1.01765229339971e-06,1,"Up"
"415632","ADGRG3",-5.41120836872578,1.01765229339971e-06,1,"Down"
"420453","VIPR2",5.40876695636321,1.03020163144964e-06,1,"Up"
"423160","LDLRAD3",5.40588374322673,1.04547592038623e-06,1,"Up"
"395829","WNT9A",5.40258862016733,1.06341017399413e-06,1,"Up"
"395162","SHISA2",5.40068824023876,1.0732659460668e-06,1,"Up"
"396509","SSRP1",-5.39960535694823,1.07828710278628e-06,1,"Down"
