pathway	gene_symbol	NES	padj
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BTG2	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	INHBA	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	G0S2	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNC	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GEM	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BHLHE40	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	F3	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	FJX1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EIF1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PHLDA2	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PHLDA1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MAFF	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PANX1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SOCS3	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SAT1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNIP1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFAIP6	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CD44	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	JUN	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DUSP1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TUBB2B	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	FOS	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BCL6	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DNAJB4	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PDE4B	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF10	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	B4GALT1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EDN1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HBEGF	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NFKBIA	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PLK2	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NR4A3	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	JAG1	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PLPP3	-1.9843016267125761	1.3392360841618318e-6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RHOB	-1.9843016267125761	1.3392360841618318e-6
